Timestamp,MPD_SERIAL,ID_PLANT,WELL_CODE,CLIENT,PROCEDURE_NO,ACTIVITY_CODE,DATE,TIME,Q_OUT_COR_TOTAL,SPP_RIG,BHP_MWD,BHP_MPD,BHP_DIFF,WHP2 _ACD,ECD_BIT_PWD,ECD_BIT_MPD,Q_IN_TOTAL
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:00,3425,1,1336,2094,1065,219,0,19,4342
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:01,1370,675,1807,1043,239,98,29,3,2416
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:02,3320,1037,20,1008,1370,148,38,27,6873
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:03,840,610,1984,245,1844,98,21,36,7457
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:04,261,433,504,35,1104,43,12,3,5784
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:05,3862,1277,252,408,486,167,20,28,10144
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:06,1359,9,270,1872,1213,95,15,21,7642
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:07,211,1001,100,199,1843,100,9,28,3401
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:08,1438,666,1910,736,1000,3,25,6,2338
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:09,2691,1297,1993,1372,1229,193,5,31,8787
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:10,1315,225,1577,787,794,120,40,42,3094
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:11,4048,1385,1290,669,1226,49,36,16,3177
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:12,2614,1325,410,820,812,68,20,24,5698
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:13,115,613,1425,1354,772,54,5,38,1855
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:14,4050,631,1667,1168,971,160,1,21,5519
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:15,1466,776,1639,2017,1305,55,0,10,6640
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:16,3468,602,1367,825,1656,209,41,39,4567
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:17,1898,732,1439,527,2064,51,42,8,3905
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:18,983,487,1701,1745,1919,178,38,14,3863
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:19,963,702,358,2048,1234,182,38,33,178
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:20,933,484,1695,1216,790,4,22,23,7219
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:21,191,1207,2066,534,107,86,36,25,8626
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:22,2643,534,625,800,1497,173,9,39,8809
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:23,2553,540,1619,143,1243,138,20,28,6608
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:24,1774,532,1133,1298,1714,152,19,41,10073
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:25,560,789,2088,399,442,63,34,36,9
11/8/2018 0:00,1,2,WellFoo,MrClient,3,4,11/8/2018,0:00:26,3842,1317,835,2008,475,74,21,41,2363
