14:05:45:045	Application Starting
14:05:49:265	Upload Task starting
14:05:49:277	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:05:50:580	Upload Task event uploaded for counter1
14:05:56:378	Upload Task event uploaded for counter2
14:05:57:516	Upload Task event uploaded for counter1
14:05:58:698	Upload Task event uploaded for counter2
14:05:59:847	Upload Task event uploaded for counter34
14:06:01:028	Upload Task event uploaded for counter1
14:06:02:204	Upload Task event uploaded for counter2
14:06:03:366	Upload Task event uploaded for counter34
14:06:04:516	Upload Task event uploaded for counter95
14:06:05:650	Upload Task event uploaded for counter1
14:06:06:782	Upload Task event uploaded for counter2
14:06:07:919	Upload Task event uploaded for counter4
14:06:09:105	Upload Task event uploaded for counter34
14:06:10:236	Upload Task event uploaded for counter51
14:06:11:357	Upload Task event uploaded for counter55
14:06:12:503	Upload Task event uploaded for counter95
14:06:13:631	Upload Task event uploaded for counter1
14:06:14:776	Upload Task event uploaded for counter2
14:06:15:910	Upload Task event uploaded for counter4
14:06:17:042	Upload Task event uploaded for counter34
14:06:18:183	Upload Task event uploaded for counter45
14:06:19:305	Upload Task event uploaded for counter51
14:06:20:431	Upload Task event uploaded for counter55
14:06:21:561	Upload Task event uploaded for counter93
14:06:22:693	Upload Task event uploaded for counter94
14:06:23:824	Upload Task event uploaded for counter95
14:06:24:959	Upload Task event uploaded for counter1
14:06:26:099	Upload Task event uploaded for counter2
14:06:27:229	Upload Task event uploaded for counter4
14:06:28:348	Upload Task event uploaded for counter34
14:06:29:485	Upload Task event uploaded for counter45
14:06:30:612	Upload Task event uploaded for counter51
14:06:31:750	Upload Task event uploaded for counter55
14:06:32:893	Upload Task event uploaded for counter93
14:06:34:027	Upload Task event uploaded for counter94
14:06:35:162	Upload Task event uploaded for counter95
14:06:36:283	Upload Task event uploaded for counter1
14:06:37:413	Upload Task event uploaded for counter2
14:06:38:543	Upload Task event uploaded for counter4
14:06:39:701	Upload Task event uploaded for counter34
14:06:40:832	Upload Task event uploaded for counter45
14:06:41:960	Upload Task event uploaded for counter51
14:06:43:087	Upload Task event uploaded for counter55
14:06:44:208	Upload Task event uploaded for counter93
14:06:45:353	Upload Task event uploaded for counter94
14:06:46:480	Upload Task event uploaded for counter95
14:06:47:610	Upload Task event uploaded for counter1
14:06:48:739	Upload Task event uploaded for counter2
14:06:49:894	Upload Task event uploaded for counter4
14:06:51:027	Upload Task event uploaded for counter23
14:06:52:158	Upload Task event uploaded for counter34
14:06:53:276	Upload Task event uploaded for counter41
14:06:54:420	Upload Task event uploaded for counter45
14:06:55:599	Upload Task event uploaded for counter51
14:06:56:738	Upload Task event uploaded for counter55
14:06:57:868	Upload Task event uploaded for counter62
14:06:59:005	Upload Task event uploaded for counter93
14:07:00:223	Upload Task event uploaded for counter94
14:07:01:352	Upload Task event uploaded for counter95
14:07:02:495	Upload Task event uploaded for counter1
14:07:03:624	Upload Task event uploaded for counter2
14:07:04:779	Upload Task event uploaded for counter4
14:07:05:981	Upload Task event uploaded for counter23
14:07:07:123	Upload Task event uploaded for counter34
14:07:08:243	Upload Task event uploaded for counter41
14:07:09:369	Upload Task event uploaded for counter45
14:07:10:521	Upload Task event uploaded for counter51
14:07:11:724	Upload Task event uploaded for counter55
14:07:12:856	Upload Task event uploaded for counter62
14:07:13:984	Upload Task event uploaded for counter79
14:07:15:119	Upload Task event uploaded for counter93
14:07:16:266	Upload Task event uploaded for counter94
14:07:17:392	Upload Task event uploaded for counter95
14:07:18:534	Upload Task event uploaded for counter1
14:07:19:661	Upload Task event uploaded for counter2
14:07:20:788	Upload Task event uploaded for counter4
14:07:21:964	Upload Task event uploaded for counter23
14:07:23:099	Upload Task event uploaded for counter34
14:07:24:225	Upload Task event uploaded for counter41
14:07:25:391	Upload Task event uploaded for counter45
14:07:26:519	Upload Task event uploaded for counter51
14:07:27:651	Upload Task event uploaded for counter55
14:07:28:789	Upload Task event uploaded for counter62
14:07:29:921	Upload Task event uploaded for counter79
14:07:31:039	Upload Task event uploaded for counter84
14:07:32:169	Upload Task event uploaded for counter93
14:07:33:303	Upload Task event uploaded for counter94
14:07:34:435	Upload Task event uploaded for counter95
14:07:35:621	Upload Task event uploaded for counter1
14:07:36:751	Upload Task event uploaded for counter2
14:07:37:876	Upload Task event uploaded for counter4
14:07:38:993	Upload Task event uploaded for counter23
14:07:40:124	Upload Task event uploaded for counter34
14:07:41:261	Upload Task event uploaded for counter41
14:07:42:402	Upload Task event uploaded for counter45
14:07:43:552	Upload Task event uploaded for counter51
14:07:44:689	Upload Task event uploaded for counter55
14:07:45:825	Upload Task event uploaded for counter62
14:07:46:963	Upload Task event uploaded for counter79
14:07:48:092	Upload Task event uploaded for counter84
14:07:49:238	Upload Task event uploaded for counter93
14:07:50:377	Upload Task event uploaded for counter94
14:07:51:509	Upload Task event uploaded for counter95
14:07:52:649	Upload Task event uploaded for counter1
14:07:53:802	Upload Task event uploaded for counter2
14:07:54:925	Upload Task event uploaded for counter4
14:07:56:060	Upload Task event uploaded for counter23
14:07:57:186	Upload Task event uploaded for counter34
14:07:58:320	Upload Task event uploaded for counter41
14:07:59:482	Upload Task event uploaded for counter45
14:08:00:622	Upload Task event uploaded for counter47
14:08:01:748	Upload Task event uploaded for counter51
