22:38:22:967	Application Starting
22:38:42:352	Upload Task starting
22:38:42:360	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
22:38:43:437	Upload Task event uploaded for counter1
22:39:15:697	Upload Task event uploaded for counter2
22:39:16:740	Upload Task event uploaded for counter1
22:39:17:756	Upload Task event uploaded for counter2
22:39:18:768	Upload Task event uploaded for counter34
22:39:19:780	Upload Task event uploaded for counter1
22:39:20:791	Upload Task event uploaded for counter2
22:39:21:801	Upload Task event uploaded for counter34
22:39:22:816	Upload Task cancellation request
22:39:22:824	Upload Task completed
