21:31:42:087	Application Starting
21:31:46:516	Upload Task starting
21:31:46:529	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
21:31:47:630	Upload Task event uploaded for counterdevice2
21:31:49:745	Upload Task cancellation request
21:31:49:751	Upload Task completed
21:36:20:892	Upload Task starting
21:36:20:906	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
21:36:21:922	Upload Task event uploaded for counterdevice2
21:36:23:001	Upload Task event uploaded for counterdevice3
21:36:25:048	Upload Task event uploaded for counterdevice2
21:36:26:159	Upload Task cancellation request
21:36:26:190	Upload Task completed
