12:55:57:019	Application Starting
12:56:00:621	Upload Task starting
12:56:00:631	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
12:56:01:705	Upload Task event uploaded for counterdevice1
12:56:04:475	Upload Task event uploaded for counterdevice1
12:56:06:507	Upload Task event uploaded for counterdevice1
12:56:08:545	Upload Task event uploaded for counterdevice1
12:56:10:574	Upload Task event uploaded for counterdevice1
12:56:12:603	Upload Task event uploaded for counterdevice1
12:56:14:635	Upload Task event uploaded for counterdevice1
12:56:16:677	Upload Task event uploaded for counterdevice1
12:56:18:720	Upload Task event uploaded for counterdevice1
12:56:20:749	Upload Task event uploaded for counterdevice1
12:56:22:811	Upload Task event uploaded for counterdevice1
12:56:24:842	Upload Task event uploaded for counterdevice1
12:56:26:876	Upload Task event uploaded for counterdevice1
12:56:28:946	Upload Task cancellation request
12:56:28:954	Upload Task completed
