13:03:29:442	Application Starting
13:03:36:421	Upload Task starting
13:03:36:464	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
13:03:37:596	Upload Task event uploaded for counterdevice2
13:03:41:088	Upload Task event uploaded for counterdevice2
13:03:43:115	Upload Task event uploaded for counterdevice2
13:03:45:159	Upload Task event uploaded for counterdevice2
13:03:46:187	Upload Task cancellation request
13:03:46:197	Upload Task completed
13:03:48:566	Upload Task starting
13:03:48:579	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
13:03:49:608	Upload Task event uploaded for counterdevice2
13:03:51:719	Upload Task event uploaded for counterdevice2
13:03:54:445	Upload Task event uploaded for counterdevice2
13:03:55:534	Upload Task cancellation request
13:03:55:590	Upload Task completed
