14:32:34:822	Application Starting
14:32:57:294	Upload Task starting
14:32:57:398	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/backup.csv
14:32:58:892	Upload Task event uploaded for counter1
14:33:16:930	Upload Task event uploaded for counter2
14:33:20:341	Upload Task event uploaded for counter1
14:33:23:807	Upload Task event uploaded for counter2
14:33:27:066	Upload Task event uploaded for counter34
14:33:30:360	Upload Task event uploaded for counter1
14:33:33:666	Upload Task event uploaded for counter2
14:33:36:785	Upload Task event uploaded for counter34
14:33:40:237	Upload Task event uploaded for counter95
14:33:43:297	Upload Task event uploaded for counter1
14:33:46:414	Upload Task event uploaded for counter2
14:33:49:568	Upload Task event uploaded for counter4
14:33:52:840	Upload Task event uploaded for counter34
14:33:56:142	Upload Task event uploaded for counter51
14:33:59:482	Upload Task event uploaded for counter55
14:34:03:757	Upload Task event uploaded for counter95
14:34:06:969	Upload Task event uploaded for counter1
14:34:10:428	Upload Task event uploaded for counter2
14:34:14:097	Upload Task event uploaded for counter4
14:34:17:370	Upload Task event uploaded for counter34
14:34:20:717	Upload Task event uploaded for counter45
14:34:24:593	Upload Task event uploaded for counter51
14:34:27:818	Upload Task event uploaded for counter55
14:34:31:121	Upload Task event uploaded for counter93
14:34:34:328	Upload Task event uploaded for counter94
14:34:37:568	Upload Task event uploaded for counter95
14:34:40:676	Upload Task event uploaded for counter1
14:34:43:835	Upload Task event uploaded for counter2
14:34:46:935	Upload Task event uploaded for counter4
14:34:50:013	Upload Task event uploaded for counter34
14:34:53:113	Upload Task event uploaded for counter45
14:34:56:401	Upload Task event uploaded for counter51
14:34:59:593	Upload Task event uploaded for counter55
14:35:02:998	Upload Task event uploaded for counter93
14:35:06:347	Upload Task event uploaded for counter94
14:35:09:517	Upload Task event uploaded for counter95
14:35:13:271	Upload Task event uploaded for counter1
14:35:16:404	Upload Task event uploaded for counter2
14:35:19:489	Upload Task event uploaded for counter4
14:35:22:661	Upload Task event uploaded for counter34
14:35:25:773	Upload Task event uploaded for counter45
14:35:29:296	Upload Task event uploaded for counter51
14:35:32:477	Upload Task event uploaded for counter55
14:35:35:554	Upload Task event uploaded for counter93
14:35:38:731	Upload Task event uploaded for counter94
14:35:41:871	Upload Task event uploaded for counter95
14:35:45:155	Upload Task event uploaded for counter1
14:35:48:565	Upload Task event uploaded for counter2
14:35:51:901	Upload Task event uploaded for counter4
14:35:55:293	Upload Task event uploaded for counter23
14:35:58:389	Upload Task event uploaded for counter34
