12:58:08:788	Application Starting
12:58:13:852	Upload Task starting
12:58:13:868	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
12:58:14:937	Upload Task event uploaded for counterdevice1
12:58:18:003	Upload Task event uploaded for counterdevice1
12:58:20:045	Upload Task event uploaded for counterdevice1
12:58:22:086	Upload Task event uploaded for counterdevice1
12:58:24:120	Upload Task event uploaded for counterdevice1
12:58:26:159	Upload Task event uploaded for counterdevice1
12:58:28:190	Upload Task event uploaded for counterdevice1
12:58:30:240	Upload Task event uploaded for counterdevice1
12:58:32:294	Upload Task event uploaded for counterdevice1
12:58:34:456	Upload Task event uploaded for counterdevice1
12:58:36:567	Upload Task event uploaded for counterdevice1
12:58:38:780	Upload Task event uploaded for counterdevice1
12:58:40:869	Upload Task event uploaded for counterdevice1
12:58:42:903	Upload Task event uploaded for counterdevice1
12:58:44:943	Upload Task event uploaded for counterdevice1
12:58:47:012	Upload Task event uploaded for counterdevice1
12:58:49:049	Upload Task event uploaded for counterdevice1
12:58:51:088	Upload Task event uploaded for counterdevice1
12:58:53:155	Upload Task event uploaded for counterdevice1
12:58:55:190	Upload Task event uploaded for counterdevice1
12:58:57:242	Upload Task event uploaded for counterdevice1
12:58:59:301	Upload Task event uploaded for counterdevice1
12:59:01:338	Upload Task event uploaded for counterdevice1
12:59:03:366	Upload Task event uploaded for counterdevice1
12:59:05:410	Upload Task event uploaded for counterdevice1
12:59:07:454	Upload Task event uploaded for counterdevice1
12:59:09:492	Upload Task event uploaded for counterdevice1
12:59:11:574	Upload Task event uploaded for counterdevice1
12:59:13:782	Upload Task event uploaded for counterdevice1
12:59:15:819	Upload Task event uploaded for counterdevice1
12:59:17:865	Upload Task event uploaded for counterdevice1
12:59:19:940	Upload Task event uploaded for counterdevice1
12:59:21:982	Upload Task event uploaded for counterdevice1
12:59:24:014	Upload Task event uploaded for counterdevice1
12:59:26:093	Upload Task event uploaded for counterdevice1
12:59:28:363	Upload Task event uploaded for counterdevice1
12:59:29:419	Upload Task cancellation request
12:59:29:478	Upload Task completed
