15:37:55:216	Application Starting
15:38:01:912	Upload Task starting
15:38:01:923	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
15:38:03:004	Upload Task event uploaded for counterdevice2
15:38:06:019	Upload Task event uploaded for counterdevice2
15:38:08:038	Upload Task event uploaded for counterdevice2
15:38:10:057	Upload Task event uploaded for counterdevice2
15:38:12:070	Upload Task event uploaded for counterdevice2
15:38:14:087	Upload Task event uploaded for counterdevice2
15:38:16:114	Upload Task event uploaded for counterdevice2
15:38:18:127	Upload Task event uploaded for counterdevice2
15:38:20:146	Upload Task event uploaded for counterdevice2
15:38:22:158	Upload Task event uploaded for counterdevice2
15:38:24:174	Upload Task cancellation request
15:38:24:188	Upload Task completed
