13:34:06:688	Application Starting
13:34:12:358	Upload Task starting
13:34:12:372	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
13:34:13:548	Upload Task event uploaded for counterdevice2
13:34:15:907	Upload Task event uploaded for counterdevice3
13:34:17:930	Upload Task event uploaded for counterdevice2
13:34:18:945	Upload Task event uploaded for counterdevice3
13:34:20:958	Upload Task event uploaded for counterdevice2
13:34:21:970	Upload Task event uploaded for counterdevice3
13:34:23:983	Upload Task event uploaded for counterdevice2
13:34:25:031	Upload Task event uploaded for counterdevice3
13:34:27:051	Upload Task event uploaded for counterdevice2
13:34:28:079	Upload Task cancellation request
13:34:28:090	Upload Task completed
