14:18:11:595	Application Starting
14:18:16:289	Upload Task starting
14:18:16:297	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:18:17:391	Upload Task event uploaded for counterdevice2
14:18:19:376	Upload Task event uploaded for counterdevice3
14:18:21:395	Upload Task event uploaded for counterdevice2
14:18:22:407	Upload Task event uploaded for counterdevice3
14:18:24:420	Upload Task event uploaded for counterdevice2
14:18:25:433	Upload Task event uploaded for counterdevice3
14:18:27:445	Upload Task event uploaded for counterdevice2
14:18:28:464	Upload Task event uploaded for counterdevice3
