16:26:08:319	Application Starting
16:26:10:142	Upload Task starting
16:26:10:149	Data File: C:\Users\tylerc\Documents\Visual Studio 2013\Projects\TCD\bin\Debug\Data/EXAMNUMERICS.csv
16:26:12:675	Upload Task event uploaded for counter1
16:26:15:718	Upload Task event uploaded for counter2
16:26:17:004	Upload Task event uploaded for counter3
16:26:18:103	Upload Task event uploaded for counter4
16:26:19:202	Upload Task event uploaded for counter5
16:26:20:297	Upload Task event uploaded for counter6
16:26:21:377	Upload Task event uploaded for counter7
16:26:22:534	Upload Task event uploaded for counter8
16:26:23:630	Upload Task event uploaded for counter9
16:26:24:750	Upload Task event uploaded for counter10
16:26:25:838	Upload Task event uploaded for counter11
16:26:26:938	Upload Task event uploaded for counter12
16:26:28:005	Upload Task event uploaded for counter13
16:26:29:087	Upload Task event uploaded for counter14
16:26:30:167	Upload Task event uploaded for counter15
16:26:31:243	Upload Task event uploaded for counter16
16:26:32:335	Upload Task event uploaded for counter17
16:26:33:406	Upload Task event uploaded for counter18
16:26:34:494	Upload Task event uploaded for counter19
16:26:35:587	Upload Task event uploaded for counter20
16:26:36:676	Upload Task event uploaded for counter21
16:26:37:760	Upload Task event uploaded for counter22
16:26:38:847	Upload Task event uploaded for counter23
16:26:39:948	Upload Task event uploaded for counter24
16:26:41:038	Upload Task event uploaded for counter25
16:26:42:108	Upload Task event uploaded for counter26
16:26:43:180	Upload Task event uploaded for counter27
16:26:44:282	Upload Task event uploaded for counter28
16:26:45:465	Upload Task event uploaded for counter29
16:26:46:659	Upload Task event uploaded for counter30
16:26:47:726	Upload Task event uploaded for counter31
16:26:48:825	Upload Task event uploaded for counter32
16:26:49:916	Upload Task event uploaded for counter33
16:26:50:987	Upload Task event uploaded for counter34
16:26:52:063	Upload Task event uploaded for counter35
16:26:53:137	Upload Task event uploaded for counter36
16:26:54:246	Upload Task event uploaded for counter37
16:26:55:321	Upload Task event uploaded for counter38
16:26:56:426	Upload Task event uploaded for counter39
16:26:57:509	Upload Task event uploaded for counter40
16:26:58:590	Upload Task event uploaded for counter41
16:26:59:670	Upload Task event uploaded for counter42
16:27:00:791	Upload Task event uploaded for counter43
16:27:01:913	Upload Task event uploaded for counter44
16:27:02:992	Upload Task event uploaded for counter45
16:27:04:082	Upload Task event uploaded for counter46
16:27:05:174	Upload Task event uploaded for counter47
16:27:06:258	Upload Task event uploaded for counter48
16:27:07:349	Upload Task event uploaded for counter49
16:27:08:455	Upload Task event uploaded for counter50
16:27:09:522	Upload Task event uploaded for counter51
16:27:10:598	Upload Task event uploaded for counter52
16:27:11:696	Upload Task event uploaded for counter53
16:27:12:776	Upload Task event uploaded for counter54
16:27:13:852	Upload Task event uploaded for counter55
16:27:14:948	Upload Task event uploaded for counter56
16:27:16:045	Upload Task event uploaded for counter57
16:27:17:117	Upload Task event uploaded for counter58
16:27:18:215	Upload Task event uploaded for counter59
16:27:19:310	Upload Task event uploaded for counter60
16:27:20:399	Upload Task event uploaded for counter61
16:27:21:486	Upload Task event uploaded for counter62
16:27:22:557	Upload Task event uploaded for counter63
16:27:23:644	Upload Task event uploaded for counter64
16:27:24:726	Upload Task event uploaded for counter65
16:27:25:815	Upload Task event uploaded for counter66
16:27:26:905	Upload Task event uploaded for counter67
16:27:27:993	Upload Task event uploaded for counter68
16:27:29:093	Upload Task event uploaded for counter69
16:27:30:179	Upload Task event uploaded for counter70
16:27:31:259	Upload Task event uploaded for counter71
16:27:32:410	Upload Task event uploaded for counter72
16:27:33:477	Upload Task event uploaded for counter73
16:27:34:573	Upload Task event uploaded for counter74
16:27:35:659	Upload Task event uploaded for counter75
16:27:36:740	Upload Task event uploaded for counter76
16:27:37:854	Upload Task event uploaded for counter77
16:27:38:947	Upload Task event uploaded for counter78
16:27:40:042	Upload Task event uploaded for counter79
16:27:41:144	Upload Task event uploaded for counter80
16:27:42:364	Upload Task event uploaded for counter81
16:27:43:469	Upload Task event uploaded for counter82
16:27:44:624	Upload Task event uploaded for counter83
16:27:45:700	Upload Task event uploaded for counter84
16:27:46:796	Upload Task event uploaded for counter85
16:27:47:874	Upload Task event uploaded for counter86
16:27:48:964	Upload Task event uploaded for counter87
16:27:50:029	Upload Task event uploaded for counter88
16:27:51:180	Upload Task event uploaded for counter89
16:27:52:262	Upload Task event uploaded for counter90
16:27:53:349	Upload Task event uploaded for counter91
16:27:54:440	Upload Task event uploaded for counter92
16:27:55:595	Upload Task event uploaded for counter93
16:27:56:672	Upload Task event uploaded for counter94
16:27:57:745	Upload Task event uploaded for counter95
16:27:58:829	Upload Task event uploaded for counter96
16:27:59:933	Upload Task event uploaded for counter97
16:28:01:014	Upload Task event uploaded for counter98
16:28:02:112	Upload Task event uploaded for counter99
16:28:03:204	Upload Task event uploaded for counter100
16:28:04:305	Upload Task event uploaded for counter101
16:28:05:385	Upload Task event uploaded for counter102
16:28:06:461	Upload Task event uploaded for counter103
16:28:07:554	Upload Task event uploaded for counter104
16:28:08:648	Upload Task event uploaded for counter105
16:28:09:728	Upload Task event uploaded for counter106
16:28:10:882	Upload Task event uploaded for counter107
16:28:12:001	Upload Task event uploaded for counter108
16:28:13:071	Upload Task event uploaded for counter109
16:28:14:154	Upload Task event uploaded for counter110
16:28:15:311	Upload Task event uploaded for counter111
16:28:16:377	Upload Task event uploaded for counter112
16:28:17:446	Upload Task event uploaded for counter113
16:28:18:511	Upload Task event uploaded for counter114
16:28:19:604	Upload Task event uploaded for counter115
16:28:20:701	Upload Task event uploaded for counter116
16:28:21:806	Upload Task event uploaded for counter117
16:28:22:879	Upload Task event uploaded for counter118
16:28:23:981	Upload Task event uploaded for counter119
16:28:25:067	Upload Task event uploaded for counter120
16:28:26:152	Upload Task event uploaded for counter121
16:28:27:369	Upload Task event uploaded for counter122
16:28:28:459	Upload Task event uploaded for counter123
16:28:29:538	Upload Task event uploaded for counter124
16:28:30:648	Upload Task event uploaded for counter125
16:28:31:809	Upload Task event uploaded for counter126
16:28:32:907	Upload Task event uploaded for counter127
16:28:33:995	Upload Task event uploaded for counter128
16:28:35:084	Upload Task event uploaded for counter129
16:28:36:254	Upload Task event uploaded for counter130
16:28:37:325	Upload Task event uploaded for counter131
16:28:38:406	Upload Task event uploaded for counter132
16:28:39:497	Upload Task event uploaded for counter133
16:28:40:606	Upload Task event uploaded for counter134
16:28:41:699	Upload Task event uploaded for counter135
16:28:42:787	Upload Task event uploaded for counter136
16:28:43:884	Upload Task event uploaded for counter137
16:28:44:965	Upload Task event uploaded for counter138
16:28:46:049	Upload Task event uploaded for counter139
16:28:47:145	Upload Task event uploaded for counter140
16:28:48:226	Upload Task event uploaded for counter141
16:28:49:300	Upload Task event uploaded for counter142
16:28:50:393	Upload Task event uploaded for counter143
16:28:51:477	Upload Task event uploaded for counter144
16:28:52:568	Upload Task event uploaded for counter145
16:28:53:664	Upload Task event uploaded for counter146
16:28:54:739	Upload Task event uploaded for counter147
16:28:55:815	Upload Task event uploaded for counter148
16:28:56:913	Upload Task event uploaded for counter149
16:28:58:013	Upload Task event uploaded for counter150
16:28:59:106	Upload Task event uploaded for counter151
16:29:00:188	Upload Task event uploaded for counter152
16:29:01:385	Upload Task event uploaded for counter153
16:29:02:465	Upload Task event uploaded for counter154
16:29:03:553	Upload Task event uploaded for counter155
16:29:04:625	Upload Task event uploaded for counter156
16:29:05:709	Upload Task event uploaded for counter157
16:29:06:793	Upload Task event uploaded for counter158
16:29:07:879	Upload Task event uploaded for counter159
