21:39:40:835	Application Starting
21:39:57:811	Upload Task starting
21:39:57:817	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
21:39:58:874	Upload Task event uploaded for counter1
21:40:17:113	Upload Task event uploaded for counter2
21:40:18:276	Upload Task event uploaded for counter1
21:40:19:520	Upload Task event uploaded for counter2
21:40:20:829	Upload Task event uploaded for counter34
21:40:21:917	Upload Task event uploaded for counter1
21:40:23:288	Upload Task event uploaded for counter2
21:40:24:532	Upload Task event uploaded for counter34
