12:14:36:994	Application Starting
12:14:42:760	Upload Task starting
12:14:42:772	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/Noble_ASA_Simulated.csv
12:14:43:938	Upload Task event uploaded for counter11/8/2018 0:00
12:14:46:679	Upload Task event uploaded for counter11/8/2018 0:01
12:14:48:037	Upload Task event uploaded for counter11/8/2018 0:02
12:14:49:331	Upload Task event uploaded for counter11/8/2018 0:03
12:14:50:594	Upload Task event uploaded for counter11/8/2018 0:04
12:14:51:956	Upload Task event uploaded for counter11/8/2018 0:05
12:14:53:392	Upload Task event uploaded for counter11/8/2018 0:06
12:14:54:727	Upload Task event uploaded for counter11/8/2018 0:07
12:14:56:057	Upload Task event uploaded for counter11/8/2018 0:08
12:14:57:378	Upload Task event uploaded for counter11/8/2018 0:09
12:14:58:608	Upload Task event uploaded for counter11/8/2018 0:10
12:15:00:011	Upload Task event uploaded for counter11/8/2018 0:11
12:15:01:506	Upload Task event uploaded for counter11/8/2018 0:12
12:15:02:801	Upload Task event uploaded for counter11/8/2018 0:13
12:15:04:095	Upload Task event uploaded for counter11/8/2018 0:14
12:15:05:348	Upload Task event uploaded for counter11/8/2018 0:15
12:15:06:586	Upload Task event uploaded for counter11/8/2018 0:16
12:15:08:045	Upload Task event uploaded for counter11/8/2018 0:17
12:15:09:600	Upload Task event uploaded for counter11/8/2018 0:18
12:15:10:836	Upload Task event uploaded for counter11/8/2018 0:19
12:15:12:051	Upload Task event uploaded for counter11/8/2018 0:20
12:15:13:323	Upload Task event uploaded for counter11/8/2018 0:21
12:15:14:783	Upload Task event uploaded for counter11/8/2018 0:22
12:15:16:059	Upload Task event uploaded for counter11/8/2018 0:23
12:15:17:537	Upload Task event uploaded for counter11/8/2018 0:24
