14:18:12:255	Application Starting
14:20:11:698	Upload Task starting
14:20:11:736	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/backup.csv
14:20:13:209	Upload Task event uploaded for counter1
14:20:28:870	Upload Task event uploaded for counter2
14:20:32:489	Upload Task event uploaded for counter1
14:20:35:814	Upload Task event uploaded for counter2
14:20:39:088	Upload Task event uploaded for counter34
14:20:42:456	Upload Task event uploaded for counter1
14:20:45:922	Upload Task event uploaded for counter2
14:20:49:359	Upload Task event uploaded for counter34
14:20:53:105	Upload Task event uploaded for counter95
14:20:56:250	Upload Task event uploaded for counter1
14:20:59:540	Upload Task event uploaded for counter2
14:21:03:985	Upload Task event uploaded for counter4
14:21:08:204	Upload Task event uploaded for counter34
14:21:13:067	Upload Task event uploaded for counter51
14:21:16:648	Upload Task event uploaded for counter55
14:21:20:235	Upload Task event uploaded for counter95
14:21:24:608	Upload Task event uploaded for counter1
14:21:28:582	Upload Task event uploaded for counter2
14:21:32:643	Upload Task event uploaded for counter4
14:21:36:748	Upload Task event uploaded for counter34
14:21:40:501	Upload Task event uploaded for counter45
14:21:44:583	Upload Task event uploaded for counter51
14:21:47:863	Upload Task event uploaded for counter55
14:21:51:128	Upload Task event uploaded for counter93
14:21:54:423	Upload Task event uploaded for counter94
14:21:58:253	Upload Task event uploaded for counter95
14:22:01:937	Upload Task event uploaded for counter1
14:22:05:630	Upload Task event uploaded for counter2
14:22:08:970	Upload Task event uploaded for counter4
14:22:12:350	Upload Task event uploaded for counter34
14:22:15:692	Upload Task event uploaded for counter45
14:22:19:040	Upload Task event uploaded for counter51
14:22:22:371	Upload Task event uploaded for counter55
14:22:25:657	Upload Task event uploaded for counter93
14:22:28:851	Upload Task event uploaded for counter94
14:22:31:953	Upload Task event uploaded for counter95
14:22:35:895	Upload Task event uploaded for counter1
14:22:39:184	Upload Task event uploaded for counter2
14:22:42:333	Upload Task event uploaded for counter4
14:22:45:454	Upload Task event uploaded for counter34
14:22:48:595	Upload Task event uploaded for counter45
14:22:51:813	Upload Task event uploaded for counter51
14:22:54:933	Upload Task event uploaded for counter55
14:22:58:359	Upload Task event uploaded for counter93
14:23:01:444	Upload Task event uploaded for counter94
14:23:04:797	Upload Task event uploaded for counter95
14:23:07:923	Upload Task event uploaded for counter1
