22:35:42:272	Application Starting
22:35:44:965	Upload Task starting
22:35:44:973	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
22:35:46:050	Upload Task event uploaded for counter1
22:35:47:904	Upload Task event uploaded for counter2
22:35:48:932	Upload Task event uploaded for counter1
22:35:49:962	Upload Task event uploaded for counter2
22:35:50:975	Upload Task event uploaded for counter34
22:35:51:993	Upload Task event uploaded for counter1
22:35:53:014	Upload Task event uploaded for counter2
22:35:54:025	Upload Task cancellation request
22:35:54:031	Upload Task completed
