14:10:36:261	Application Starting
14:10:58:722	Upload Task starting
14:10:58:736	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/Noble_ASA_Simulated.csv
14:10:59:831	Upload Task event uploaded for counter11/8/2018 0:00
14:11:03:124	Upload Task event uploaded for counter11/8/2018 0:01
14:11:04:490	Upload Task event uploaded for counter11/8/2018 0:02
14:11:05:881	Upload Task event uploaded for counter11/8/2018 0:03
14:11:07:262	Upload Task event uploaded for counter11/8/2018 0:04
14:11:08:711	Upload Task event uploaded for counter11/8/2018 0:05
14:11:10:024	Upload Task event uploaded for counter11/8/2018 0:06
14:11:11:327	Upload Task event uploaded for counter11/8/2018 0:07
14:11:12:596	Upload Task event uploaded for counter11/8/2018 0:08
14:11:13:909	Upload Task event uploaded for counter11/8/2018 0:09
14:11:15:221	Upload Task event uploaded for counter11/8/2018 0:10
14:11:16:496	Upload Task event uploaded for counter11/8/2018 0:11
14:11:17:824	Upload Task event uploaded for counter11/8/2018 0:12
14:11:19:068	Upload Task event uploaded for counter11/8/2018 0:13
14:11:20:312	Upload Task event uploaded for counter11/8/2018 0:14
14:11:21:522	Upload Task event uploaded for counter11/8/2018 0:15
14:11:22:775	Upload Task event uploaded for counter11/8/2018 0:16
14:11:24:312	Upload Task event uploaded for counter11/8/2018 0:17
14:11:25:573	Upload Task event uploaded for counter11/8/2018 0:18
14:11:26:898	Upload Task event uploaded for counter11/8/2018 0:19
14:11:28:216	Upload Task event uploaded for counter11/8/2018 0:20
14:11:30:015	Upload Task event uploaded for counter11/8/2018 0:21
14:11:31:856	Upload Task event uploaded for counter11/8/2018 0:22
14:11:33:459	Upload Task event uploaded for counter11/8/2018 0:23
14:11:34:894	Upload Task event uploaded for counter11/8/2018 0:24
14:11:36:293	Upload Task event uploaded for counter11/8/2018 0:25
14:11:37:607	Upload Task event uploaded for counter11/8/2018 0:26
14:11:39:035	Upload Task event uploaded for counter11/8/2018 0:27
14:11:40:395	Upload Task event uploaded for counter11/8/2018 0:28
14:11:41:686	Upload Task event uploaded for counter11/8/2018 0:29
14:11:43:002	Upload Task event uploaded for counter11/8/2018 0:30
14:11:44:232	Upload Task event uploaded for counter11/8/2018 0:31
14:11:45:471	Upload Task event uploaded for counter11/8/2018 0:32
14:11:46:732	Upload Task event uploaded for counter11/8/2018 0:33
14:11:48:030	Upload Task event uploaded for counter11/8/2018 0:34
14:11:49:448	Upload Task event uploaded for counter11/8/2018 0:35
14:11:50:682	Upload Task event uploaded for counter11/8/2018 0:36
14:11:51:940	Upload Task event uploaded for counter11/8/2018 0:37
14:11:53:177	Upload Task event uploaded for counter11/8/2018 0:38
14:11:54:498	Upload Task event uploaded for counter11/8/2018 0:39
14:11:55:842	Upload Task event uploaded for counter11/8/2018 0:40
14:11:57:088	Upload Task event uploaded for counter11/8/2018 0:41
14:11:58:470	Upload Task event uploaded for counter11/8/2018 0:42
14:11:59:772	Upload Task event uploaded for counter11/8/2018 0:43
14:12:01:023	Upload Task event uploaded for counter11/8/2018 0:44
14:12:02:287	Upload Task event uploaded for counter11/8/2018 0:45
14:12:03:777	Upload Task event uploaded for counter11/8/2018 0:46
14:12:04:988	Upload Task event uploaded for counter11/8/2018 0:47
14:12:06:543	Upload Task event uploaded for counter11/8/2018 0:48
14:12:07:799	Upload Task event uploaded for counter11/8/2018 0:49
14:12:09:053	Upload Task event uploaded for counter11/8/2018 0:50
14:12:10:309	Upload Task event uploaded for counter11/8/2018 0:51
14:12:11:700	Upload Task event uploaded for counter11/8/2018 0:52
14:12:13:055	Upload Task event uploaded for counter11/8/2018 0:53
14:12:14:574	Upload Task event uploaded for counter11/8/2018 0:54
14:12:15:878	Upload Task event uploaded for counter11/8/2018 0:55
14:12:17:127	Upload Task event uploaded for counter11/8/2018 0:56
14:12:18:423	Upload Task event uploaded for counter11/8/2018 0:57
14:12:19:996	Upload Task event uploaded for counter11/8/2018 0:58
14:12:21:255	Upload Task event uploaded for counter11/8/2018 0:59
14:12:23:740	Upload Task event uploaded for counter11/8/2018 0:00
14:12:24:980	Upload Task event uploaded for counter11/8/2018 0:01
14:12:26:208	Upload Task event uploaded for counter11/8/2018 0:02
14:12:28:912	Upload Task event uploaded for counter11/8/2018 0:03
14:12:30:786	Upload Task event uploaded for counter11/8/2018 0:04
14:12:32:096	Upload Task event uploaded for counter11/8/2018 0:05
14:12:33:700	Upload Task event uploaded for counter11/8/2018 0:06
14:12:35:274	Upload Task event uploaded for counter11/8/2018 0:07
14:12:36:689	Upload Task event uploaded for counter11/8/2018 0:08
14:12:37:952	Upload Task event uploaded for counter11/8/2018 0:09
14:12:39:270	Upload Task event uploaded for counter11/8/2018 0:10
14:12:40:540	Upload Task event uploaded for counter11/8/2018 0:11
14:12:42:026	Upload Task event uploaded for counter11/8/2018 0:12
14:12:43:552	Upload Task event uploaded for counter11/8/2018 0:13
14:12:44:943	Upload Task event uploaded for counter11/8/2018 0:14
14:12:46:232	Upload Task event uploaded for counter11/8/2018 0:15
14:12:47:518	Upload Task event uploaded for counter11/8/2018 0:16
14:12:49:088	Upload Task event uploaded for counter11/8/2018 0:17
14:12:50:569	Upload Task event uploaded for counter11/8/2018 0:18
14:12:51:868	Upload Task event uploaded for counter11/8/2018 0:19
14:12:53:194	Upload Task event uploaded for counter11/8/2018 0:20
14:12:54:464	Upload Task event uploaded for counter11/8/2018 0:21
14:12:55:741	Upload Task event uploaded for counter11/8/2018 0:22
14:12:57:171	Upload Task event uploaded for counter11/8/2018 0:23
14:12:58:663	Upload Task event uploaded for counter11/8/2018 0:24
14:13:00:051	Upload Task event uploaded for counter11/8/2018 0:25
14:13:01:397	Upload Task event uploaded for counter11/8/2018 0:26
14:13:02:761	Upload Task event uploaded for counter11/8/2018 0:27
14:13:04:329	Upload Task event uploaded for counter11/8/2018 0:28
14:13:05:773	Upload Task event uploaded for counter11/8/2018 0:29
14:13:07:073	Upload Task event uploaded for counter11/8/2018 0:30
14:13:08:504	Upload Task event uploaded for counter11/8/2018 0:31
14:13:10:127	Upload Task event uploaded for counter11/8/2018 0:32
14:13:11:658	Upload Task event uploaded for counter11/8/2018 0:33
14:13:13:077	Upload Task event uploaded for counter11/8/2018 0:34
14:13:14:432	Upload Task event uploaded for counter11/8/2018 0:35
14:13:15:750	Upload Task event uploaded for counter11/8/2018 0:36
14:13:17:203	Upload Task event uploaded for counter11/8/2018 0:37
14:13:18:662	Upload Task event uploaded for counter11/8/2018 0:38
14:13:20:135	Upload Task event uploaded for counter11/8/2018 0:39
14:13:21:415	Upload Task event uploaded for counter11/8/2018 0:40
14:13:22:776	Upload Task event uploaded for counter11/8/2018 0:41
14:13:24:061	Upload Task event uploaded for counter11/8/2018 0:42
14:13:25:538	Upload Task event uploaded for counter11/8/2018 0:43
14:13:27:030	Upload Task event uploaded for counter11/8/2018 0:44
14:13:28:705	Upload Task event uploaded for counter11/8/2018 0:45
14:13:30:000	Upload Task event uploaded for counter11/8/2018 0:46
14:13:31:275	Upload Task event uploaded for counter11/8/2018 0:47
14:13:32:805	Upload Task event uploaded for counter11/8/2018 0:48
14:13:34:325	Upload Task event uploaded for counter11/8/2018 0:49
14:13:35:712	Upload Task event uploaded for counter11/8/2018 0:50
14:13:36:992	Upload Task event uploaded for counter11/8/2018 0:51
14:13:38:327	Upload Task event uploaded for counter11/8/2018 0:52
14:13:39:580	Upload Task event uploaded for counter11/8/2018 0:53
14:13:41:009	Upload Task event uploaded for counter11/8/2018 0:54
14:13:42:441	Upload Task event uploaded for counter11/8/2018 0:55
14:13:43:886	Upload Task event uploaded for counter11/8/2018 0:56
14:13:45:177	Upload Task event uploaded for counter11/8/2018 0:57
14:13:46:447	Upload Task event uploaded for counter11/8/2018 0:58
14:13:47:746	Upload Task event uploaded for counter11/8/2018 0:59
14:13:50:326	Upload Task event uploaded for counter11/8/2018 0:00
14:13:51:789	Upload Task event uploaded for counter11/8/2018 0:01
14:13:53:060	Upload Task event uploaded for counter11/8/2018 0:02
14:13:54:304	Upload Task event uploaded for counter11/8/2018 0:03
14:13:55:693	Upload Task event uploaded for counter11/8/2018 0:04
14:13:57:053	Upload Task event uploaded for counter11/8/2018 0:05
14:13:58:493	Upload Task event uploaded for counter11/8/2018 0:06
14:13:59:873	Upload Task event uploaded for counter11/8/2018 0:07
14:14:01:886	Upload Task event uploaded for counter11/8/2018 0:08
14:14:03:418	Upload Task event uploaded for counter11/8/2018 0:09
14:14:05:050	Upload Task event uploaded for counter11/8/2018 0:10
14:14:06:419	Upload Task event uploaded for counter11/8/2018 0:11
14:14:08:320	Upload Task event uploaded for counter11/8/2018 0:12
14:14:10:125	Upload Task event uploaded for counter11/8/2018 0:13
14:14:11:507	Upload Task event uploaded for counter11/8/2018 0:14
14:14:12:927	Upload Task event uploaded for counter11/8/2018 0:15
14:14:14:399	Upload Task event uploaded for counter11/8/2018 0:16
14:14:15:800	Upload Task event uploaded for counter11/8/2018 0:17
14:14:17:157	Upload Task event uploaded for counter11/8/2018 0:18
14:14:18:425	Upload Task event uploaded for counter11/8/2018 0:19
14:14:20:216	Upload Task event uploaded for counter11/8/2018 0:20
14:14:21:886	Upload Task event uploaded for counter11/8/2018 0:21
14:14:23:194	Upload Task event uploaded for counter11/8/2018 0:22
14:14:24:495	Upload Task event uploaded for counter11/8/2018 0:23
14:14:25:834	Upload Task event uploaded for counter11/8/2018 0:24
14:14:27:351	Upload Task event uploaded for counter11/8/2018 0:25
14:14:28:688	Upload Task event uploaded for counter11/8/2018 0:26
14:14:32:565	Upload Task event uploaded for counter11/8/2018 0:27
14:14:49:984	Upload Task event uploaded for counter11/8/2018 0:28
14:15:03:983	Upload Task event uploaded for counter11/8/2018 0:29
14:15:16:797	Upload Task event uploaded for counter11/8/2018 0:30
14:15:24:825	Upload Task event uploaded for counter11/8/2018 0:31
14:15:28:661	Upload Task event uploaded for counter11/8/2018 0:32
14:15:31:560	Upload Task event uploaded for counter11/8/2018 0:33
14:15:34:255	Upload Task event uploaded for counter11/8/2018 0:34
14:15:36:922	Upload Task event uploaded for counter11/8/2018 0:35
