16:20:21:945	Application Starting
16:20:40:798	Upload Task starting
16:20:40:805	Data File: C:\Users\tylerc\Documents\Visual Studio 2013\Projects\PM_SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
16:20:43:815	Upload Task event uploaded for counter1
16:20:46:648	Upload Task event uploaded for counter2
16:20:47:721	Upload Task event uploaded for counter1
16:20:48:790	Upload Task event uploaded for counter2
16:20:49:861	Upload Task event uploaded for counter34
16:20:50:934	Upload Task event uploaded for counter1
16:20:52:006	Upload Task event uploaded for counter2
16:20:53:081	Upload Task event uploaded for counter34
16:20:54:152	Upload Task event uploaded for counter95
16:20:55:217	Upload Task event uploaded for counter1
16:20:56:314	Upload Task event uploaded for counter2
16:20:57:384	Upload Task event uploaded for counter4
16:20:58:449	Upload Task event uploaded for counter34
16:20:59:513	Upload Task event uploaded for counter51
16:21:00:580	Upload Task event uploaded for counter55
16:21:01:635	Upload Task event uploaded for counter95
16:21:02:700	Upload Task event uploaded for counter1
16:21:03:764	Upload Task event uploaded for counter2
16:21:04:830	Upload Task event uploaded for counter4
16:21:05:906	Upload Task event uploaded for counter34
16:21:06:970	Upload Task event uploaded for counter45
16:21:08:035	Upload Task event uploaded for counter51
16:21:09:122	Upload Task event uploaded for counter55
16:21:10:188	Upload Task event uploaded for counter93
16:21:11:257	Upload Task event uploaded for counter94
16:21:12:326	Upload Task event uploaded for counter95
16:21:13:391	Upload Task event uploaded for counter1
16:21:14:458	Upload Task event uploaded for counter2
16:21:15:534	Upload Task event uploaded for counter4
16:21:16:599	Upload Task event uploaded for counter34
16:21:17:669	Upload Task event uploaded for counter45
16:21:18:732	Upload Task event uploaded for counter51
16:21:19:802	Upload Task event uploaded for counter55
16:21:20:866	Upload Task event uploaded for counter93
16:21:21:933	Upload Task event uploaded for counter94
16:21:23:001	Upload Task event uploaded for counter95
16:21:24:069	Upload Task event uploaded for counter1
16:21:25:135	Upload Task event uploaded for counter2
16:21:26:205	Upload Task event uploaded for counter4
16:21:27:275	Upload Task event uploaded for counter34
16:21:28:581	Upload Task event uploaded for counter45
16:21:29:648	Upload Task event uploaded for counter51
16:21:30:716	Upload Task event uploaded for counter55
16:21:31:780	Upload Task event uploaded for counter93
16:21:32:845	Upload Task event uploaded for counter94
16:21:33:914	Upload Task event uploaded for counter95
16:21:34:979	Upload Task event uploaded for counter1
16:21:36:044	Upload Task event uploaded for counter2
16:21:37:110	Upload Task event uploaded for counter4
16:21:38:179	Upload Task event uploaded for counter23
16:21:39:249	Upload Task event uploaded for counter34
16:21:40:314	Upload Task event uploaded for counter41
16:21:41:390	Upload Task event uploaded for counter45
16:21:42:456	Upload Task event uploaded for counter51
16:21:43:521	Upload Task event uploaded for counter55
16:21:44:590	Upload Task event uploaded for counter62
16:21:45:651	Upload Task event uploaded for counter93
16:21:46:715	Upload Task event uploaded for counter94
16:21:47:795	Upload Task event uploaded for counter95
16:21:48:867	Upload Task event uploaded for counter1
16:21:49:934	Upload Task event uploaded for counter2
16:21:51:001	Upload Task event uploaded for counter4
16:21:52:073	Upload Task event uploaded for counter23
16:21:53:143	Upload Task event uploaded for counter34
16:21:54:215	Upload Task event uploaded for counter41
16:21:55:277	Upload Task event uploaded for counter45
16:21:56:342	Upload Task event uploaded for counter51
16:21:57:410	Upload Task event uploaded for counter55
16:21:58:477	Upload Task event uploaded for counter62
16:21:59:549	Upload Task event uploaded for counter79
16:22:00:614	Upload Task event uploaded for counter93
16:22:01:678	Upload Task event uploaded for counter94
16:22:02:742	Upload Task event uploaded for counter95
16:22:03:805	Upload Task event uploaded for counter1
16:22:04:872	Upload Task event uploaded for counter2
16:22:05:940	Upload Task event uploaded for counter4
16:22:07:005	Upload Task event uploaded for counter23
16:22:08:070	Upload Task event uploaded for counter34
16:22:09:135	Upload Task event uploaded for counter41
16:22:10:199	Upload Task event uploaded for counter45
16:22:11:273	Upload Task event uploaded for counter51
16:22:12:340	Upload Task event uploaded for counter55
16:22:13:414	Upload Task event uploaded for counter62
16:22:14:501	Upload Task event uploaded for counter79
16:22:15:568	Upload Task event uploaded for counter84
16:22:16:634	Upload Task event uploaded for counter93
16:22:17:704	Upload Task event uploaded for counter94
16:22:18:770	Upload Task event uploaded for counter95
16:22:19:840	Upload Task event uploaded for counter1
