10:26:25:705	Application Starting
10:26:30:773	Upload Task starting
10:26:30:779	Data File: C:\Users\tylerc\Documents\Visual Studio 2013\Projects\PM_SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
10:27:12:112	Upload Task event uploaded for counter1
10:27:21:762	Upload Task event uploaded for counter2
10:27:22:851	Upload Task event uploaded for counter1
10:27:23:937	Upload Task event uploaded for counter2
10:27:25:023	Upload Task event uploaded for counter34
10:27:26:116	Upload Task event uploaded for counter1
10:27:27:203	Upload Task event uploaded for counter2
10:27:28:319	Upload Task event uploaded for counter34
10:27:29:412	Upload Task event uploaded for counter95
10:27:30:498	Upload Task event uploaded for counter1
10:27:31:581	Upload Task event uploaded for counter2
10:27:32:675	Upload Task event uploaded for counter4
10:27:34:310	Upload Task event uploaded for counter34
10:27:35:400	Upload Task event uploaded for counter51
10:27:36:485	Upload Task event uploaded for counter55
10:27:37:873	Upload Task event uploaded for counter95
10:27:38:980	Upload Task event uploaded for counter1
10:27:40:075	Upload Task event uploaded for counter2
10:27:41:160	Upload Task event uploaded for counter4
10:27:42:253	Upload Task event uploaded for counter34
10:27:43:340	Upload Task event uploaded for counter45
10:27:44:450	Upload Task event uploaded for counter51
10:27:45:545	Upload Task cancellation request
10:27:45:555	Upload Task completed
