10:19:05:270	Application Starting
10:19:08:603	Upload Task starting
10:19:08:614	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/backup.csv
10:19:09:720	Upload Task event uploaded for counter1
10:19:21:604	Upload Task event uploaded for counter2
10:19:24:624	Upload Task event uploaded for counter1
10:19:27:673	Upload Task event uploaded for counter2
10:19:30:702	Upload Task event uploaded for counter34
10:19:33:718	Upload Task event uploaded for counter1
10:19:36:742	Upload Task event uploaded for counter2
10:19:39:758	Upload Task event uploaded for counter34
10:19:42:771	Upload Task event uploaded for counter95
10:19:45:810	Upload Task event uploaded for counter1
10:19:48:826	Upload Task event uploaded for counter2
10:19:51:843	Upload Task event uploaded for counter4
10:19:54:862	Upload Task cancellation request
10:19:54:870	Upload Task completed
