15:02:46:232	Application Starting
15:03:22:417	Upload Task starting
15:03:22:438	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/Noble_ASA_Simulated.csv
15:03:23:546	Upload Task event uploaded for counter11/8/2018 0:00
15:03:26:621	Upload Task event uploaded for counter11/8/2018 0:01
15:03:27:863	Upload Task event uploaded for counter11/8/2018 0:02
15:03:30:335	Upload Task event uploaded for counter11/8/2018 0:03
15:03:31:680	Upload Task event uploaded for counter11/8/2018 0:04
15:03:33:429	Upload Task event uploaded for counter11/8/2018 0:05
15:03:34:659	Upload Task event uploaded for counter11/8/2018 0:06
15:03:35:880	Upload Task event uploaded for counter11/8/2018 0:07
15:03:37:116	Upload Task event uploaded for counter11/8/2018 0:08
15:03:38:446	Upload Task event uploaded for counter11/8/2018 0:09
15:03:39:865	Upload Task event uploaded for counter11/8/2018 0:10
15:03:41:317	Upload Task event uploaded for counter11/8/2018 0:11
15:03:42:575	Upload Task event uploaded for counter11/8/2018 0:12
15:03:43:892	Upload Task event uploaded for counter11/8/2018 0:13
15:03:45:094	Upload Task event uploaded for counter11/8/2018 0:14
15:03:46:442	Upload Task event uploaded for counter11/8/2018 0:15
15:03:47:892	Upload Task event uploaded for counter11/8/2018 0:16
15:03:50:051	Upload Task event uploaded for counter11/8/2018 0:17
15:03:51:279	Upload Task event uploaded for counter11/8/2018 0:18
15:03:52:687	Upload Task event uploaded for counter11/8/2018 0:19
15:03:54:464	Upload Task event uploaded for counter11/8/2018 0:20
15:03:57:652	Upload Task cancellation request
15:03:57:669	Upload Task completed
