16:45:14:355	Application Starting
16:45:15:986	Upload Task starting
16:45:15:990	Data File: C:\Users\tylerc\Documents\Visual Studio 2013\Projects\TCD\bin\Debug\Data/EXAMNUMERICS.csv
16:45:18:874	Upload Task event uploaded for counter1
16:45:21:891	Upload Task event uploaded for counter2
16:45:22:984	Upload Task event uploaded for counter3
16:45:24:105	Upload Task event uploaded for counter4
16:45:25:189	Upload Task event uploaded for counter5
16:45:26:290	Upload Task event uploaded for counter6
16:45:27:373	Upload Task event uploaded for counter7
16:45:28:449	Upload Task event uploaded for counter8
16:45:29:533	Upload Task event uploaded for counter9
16:45:30:626	Upload Task event uploaded for counter10
16:45:31:711	Upload Task event uploaded for counter11
16:45:32:799	Upload Task event uploaded for counter12
16:45:33:874	Upload Task event uploaded for counter13
16:45:34:972	Upload Task event uploaded for counter14
16:45:36:061	Upload Task event uploaded for counter15
16:45:37:147	Upload Task event uploaded for counter16
16:45:38:227	Upload Task event uploaded for counter17
16:45:39:341	Upload Task event uploaded for counter18
16:45:40:475	Upload Task event uploaded for counter19
16:45:41:548	Upload Task event uploaded for counter20
16:45:42:621	Upload Task event uploaded for counter21
16:45:43:706	Upload Task event uploaded for counter22
16:45:44:904	Upload Task event uploaded for counter23
16:45:45:981	Upload Task event uploaded for counter24
16:45:47:062	Upload Task event uploaded for counter25
16:45:48:144	Upload Task event uploaded for counter26
16:45:49:240	Upload Task event uploaded for counter27
16:45:50:313	Upload Task event uploaded for counter28
16:45:51:404	Upload Task event uploaded for counter29
16:45:52:482	Upload Task event uploaded for counter30
16:45:53:574	Upload Task event uploaded for counter31
16:45:54:654	Upload Task event uploaded for counter32
16:45:55:733	Upload Task event uploaded for counter33
16:45:56:806	Upload Task event uploaded for counter34
16:45:57:899	Upload Task event uploaded for counter35
16:45:58:966	Upload Task event uploaded for counter36
16:46:00:057	Upload Task event uploaded for counter37
16:46:01:143	Upload Task event uploaded for counter38
16:46:02:241	Upload Task event uploaded for counter39
16:46:03:344	Upload Task event uploaded for counter40
