14:40:09:615	Application Starting
14:40:14:637	Upload Task starting
14:40:14:651	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:40:15:748	Upload Task event uploaded for counterdevice2
14:40:18:218	Upload Task event uploaded for counterdevice3
14:40:20:235	Upload Task event uploaded for counterdevice2
14:40:21:255	Upload Task event uploaded for counterdevice3
14:40:23:288	Upload Task event uploaded for counterdevice2
14:40:24:302	Upload Task event uploaded for counterdevice3
14:40:26:325	Upload Task event uploaded for counterdevice2
14:40:27:373	Upload Task cancellation request
14:40:27:390	Upload Task completed
