12:47:02:482	Application Starting
12:47:38:863	Upload Task starting
12:47:38:876	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
12:47:39:945	Upload Task event uploaded for counterdevice1
12:47:42:925	Upload Task event uploaded for counterdevice1
12:47:44:973	Upload Task event uploaded for counterdevice1
12:47:47:017	Upload Task event uploaded for counterdevice1
12:47:49:090	Upload Task event uploaded for counterdevice1
12:47:51:154	Upload Task event uploaded for counterdevice1
12:47:53:208	Upload Task event uploaded for counterdevice1
12:47:55:250	Upload Task event uploaded for counterdevice1
12:47:57:331	Upload Task event uploaded for counterdevice1
12:47:59:379	Upload Task event uploaded for counterdevice1
12:48:01:433	Upload Task event uploaded for counterdevice1
12:48:03:524	Upload Task event uploaded for counterdevice1
12:48:05:608	Upload Task event uploaded for counterdevice1
12:48:07:651	Upload Task event uploaded for counterdevice1
12:48:09:687	Upload Task event uploaded for counterdevice1
12:48:11:760	Upload Task event uploaded for counterdevice1
12:48:13:825	Upload Task cancellation request
12:48:13:836	Upload Task completed
