14:16:13:656	Application Starting
14:16:18:869	Upload Task starting
14:16:18:882	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:16:20:102	Upload Task event uploaded for counter1
14:16:25:004	Upload Task event uploaded for counter2
14:16:26:138	Upload Task event uploaded for counter1
14:16:27:263	Upload Task event uploaded for counter2
14:16:28:400	Upload Task event uploaded for counter34
14:16:29:533	Upload Task event uploaded for counter1
14:16:30:652	Upload Task event uploaded for counter2
14:16:31:783	Upload Task event uploaded for counter34
14:16:32:918	Upload Task event uploaded for counter95
14:16:34:049	Upload Task event uploaded for counter1
14:16:35:182	Upload Task event uploaded for counter2
14:16:36:305	Upload Task event uploaded for counter4
14:16:37:428	Upload Task event uploaded for counter34
14:16:38:577	Upload Task event uploaded for counter51
14:16:39:709	Upload Task event uploaded for counter55
14:16:40:843	Upload Task event uploaded for counter95
14:16:41:983	Upload Task event uploaded for counter1
14:16:43:109	Upload Task event uploaded for counter2
14:16:44:248	Upload Task event uploaded for counter4
14:16:45:384	Upload Task event uploaded for counter34
14:16:46:508	Upload Task event uploaded for counter45
14:16:47:640	Upload Task event uploaded for counter51
14:16:48:770	Upload Task event uploaded for counter55
14:16:49:899	Upload Task event uploaded for counter93
14:16:51:036	Upload Task event uploaded for counter94
14:16:52:169	Upload Task event uploaded for counter95
14:16:53:291	Upload Task event uploaded for counter1
14:16:54:423	Upload Task event uploaded for counter2
14:16:55:559	Upload Task event uploaded for counter4
14:16:56:693	Upload Task event uploaded for counter34
14:16:57:832	Upload Task event uploaded for counter45
14:16:58:954	Upload Task event uploaded for counter51
14:17:00:081	Upload Task event uploaded for counter55
14:17:01:217	Upload Task event uploaded for counter93
14:17:02:349	Upload Task event uploaded for counter94
14:17:03:482	Upload Task event uploaded for counter95
14:17:04:614	Upload Task event uploaded for counter1
14:17:05:736	Upload Task event uploaded for counter2
14:17:06:871	Upload Task event uploaded for counter4
14:17:08:009	Upload Task event uploaded for counter34
14:17:09:181	Upload Task event uploaded for counter45
14:17:10:337	Upload Task event uploaded for counter51
14:17:11:473	Upload Task event uploaded for counter55
14:17:12:599	Upload Task event uploaded for counter93
14:17:13:733	Upload Task event uploaded for counter94
14:17:14:866	Upload Task event uploaded for counter95
14:17:15:989	Upload Task event uploaded for counter1
14:17:17:123	Upload Task event uploaded for counter2
14:17:18:265	Upload Task event uploaded for counter4
14:17:19:399	Upload Task event uploaded for counter23
14:17:20:622	Upload Task event uploaded for counter34
14:17:21:773	Upload Task event uploaded for counter41
14:17:22:899	Upload Task event uploaded for counter45
14:17:24:034	Upload Task event uploaded for counter51
14:17:25:164	Upload Task event uploaded for counter55
14:17:26:300	Upload Task event uploaded for counter62
14:17:27:465	Upload Task event uploaded for counter93
14:17:28:586	Upload Task event uploaded for counter94
14:17:29:717	Upload Task event uploaded for counter95
14:17:30:859	Upload Task event uploaded for counter1
14:17:32:047	Upload Task event uploaded for counter2
14:17:33:207	Upload Task event uploaded for counter4
14:17:34:352	Upload Task event uploaded for counter23
14:17:35:475	Upload Task event uploaded for counter34
