11:11:12:618	Application Starting
11:11:18:098	Upload Task starting
11:11:18:119	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
11:11:19:319	Upload Task event uploaded for counterdevice2
11:11:21:814	Upload Task event uploaded for counterdevice3
11:11:23:858	Upload Task event uploaded for counterdevice2
11:11:24:921	Upload Task event uploaded for counterdevice3
11:11:27:059	Upload Task event uploaded for counterdevice2
11:11:28:123	Upload Task event uploaded for counterdevice3
11:11:30:289	Upload Task event uploaded for counterdevice2
11:11:31:825	Upload Task event uploaded for counterdevice3
11:11:33:878	Upload Task event uploaded for counterdevice2
11:11:34:924	Upload Task event uploaded for counterdevice3
11:11:36:985	Upload Task event uploaded for counterdevice2
11:11:38:018	Upload Task event uploaded for counterdevice3
11:11:40:059	Upload Task event uploaded for counterdevice2
11:11:41:140	Upload Task event uploaded for counterdevice3
11:11:43:549	Upload Task event uploaded for counterdevice2
11:11:44:586	Upload Task event uploaded for counterdevice3
11:11:46:635	Upload Task event uploaded for counterdevice2
11:11:47:694	Upload Task event uploaded for counterdevice3
11:11:49:898	Upload Task event uploaded for counterdevice2
