19:29:39:945	Application Starting
19:29:44:645	Upload Task starting
19:29:44:654	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
19:29:45:733	Upload Task event uploaded for counterdevice1
19:30:01:005	Upload Task event uploaded for counterdevice1
19:30:15:053	Upload Task event uploaded for counterdevice1
19:30:29:153	Upload Task event uploaded for counterdevice1
19:30:43:447	Upload Task event uploaded for counterdevice1
19:30:57:579	Upload Task event uploaded for counterdevice1
19:31:11:171	Upload Task cancellation request
19:31:11:184	Upload Task completed
