13:50:44:798	Application Starting
13:50:49:106	Upload Task starting
13:50:49:123	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
13:50:50:258	Upload Task event uploaded for counterdevice1
13:51:05:438	Upload Task event uploaded for counterdevice1
13:51:19:493	Upload Task event uploaded for counterdevice1
13:51:33:541	Upload Task event uploaded for counterdevice1
13:51:47:607	Upload Task event uploaded for counterdevice1
13:52:01:665	Upload Task event uploaded for counterdevice1
13:52:15:876	Upload Task event uploaded for counterdevice1
13:52:29:958	Upload Task event uploaded for counterdevice1
13:52:44:029	Upload Task event uploaded for counterdevice1
13:52:58:122	Upload Task event uploaded for counterdevice1
13:53:12:180	Upload Task event uploaded for counterdevice1
13:53:26:301	Upload Task event uploaded for counterdevice1
13:53:40:457	Upload Task event uploaded for counterdevice1
13:53:54:526	Upload Task event uploaded for counterdevice1
13:54:08:609	Upload Task event uploaded for counterdevice1
13:54:22:712	Upload Task event uploaded for counterdevice1
13:54:36:776	Upload Task event uploaded for counterdevice1
13:54:50:824	Upload Task event uploaded for counterdevice1
13:55:04:906	Upload Task event uploaded for counterdevice1
13:55:18:957	Upload Task event uploaded for counterdevice1
13:55:33:051	Upload Task event uploaded for counterdevice1
13:55:47:113	Upload Task event uploaded for counterdevice1
13:56:01:394	Upload Task event uploaded for counterdevice1
13:56:15:528	Upload Task event uploaded for counterdevice1
13:56:29:628	Upload Task event uploaded for counterdevice1
13:56:43:718	Upload Task event uploaded for counterdevice1
13:56:57:805	Upload Task event uploaded for counterdevice1
13:57:11:049	Upload Task cancellation request
13:57:11:063	Upload Task completed
