14:31:20:734	Application Starting
14:31:28:420	Upload Task starting
14:31:28:441	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:31:29:617	Upload Task event uploaded for counter1
14:31:32:451	Upload Task event uploaded for counter2
14:31:33:501	Upload Task event uploaded for counter1
14:31:35:030	Upload Task event uploaded for counter2
14:31:36:193	Upload Task event uploaded for counter34
14:31:38:108	Upload Task event uploaded for counter1
14:31:39:594	Upload Task event uploaded for counter2
14:31:41:281	Upload Task event uploaded for counter34
14:31:43:307	Upload Task event uploaded for counter95
