13:52:17:014	Application Starting
13:52:21:509	Upload Task starting
13:52:21:517	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
13:52:22:591	Upload Task event uploaded for counter1
13:52:34:564	Upload Task event uploaded for counter2
13:52:37:578	Upload Task event uploaded for counter1
13:52:40:590	Upload Task event uploaded for counter2
13:52:43:602	Upload Task event uploaded for counter34
13:52:46:644	Upload Task event uploaded for counter1
13:52:49:665	Upload Task event uploaded for counter2
13:52:52:678	Upload Task event uploaded for counter34
13:52:55:698	Upload Task cancellation request
13:52:55:705	Upload Task completed
