14:17:44:704	Application Starting
14:17:57:052	Upload Task starting
14:17:57:080	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:17:58:617	Upload Task event uploaded for counter1
14:18:14:344	Upload Task event uploaded for counter2
14:18:17:826	Upload Task event uploaded for counter1
14:18:21:140	Upload Task event uploaded for counter2
14:18:24:825	Upload Task event uploaded for counter34
14:18:29:514	Upload Task event uploaded for counter1
14:18:33:589	Upload Task event uploaded for counter2
14:18:37:904	Upload Task event uploaded for counter34
14:18:41:292	Upload Task event uploaded for counter95
14:18:44:575	Upload Task event uploaded for counter1
14:18:47:774	Upload Task event uploaded for counter2
14:18:51:139	Upload Task event uploaded for counter4
14:18:54:599	Upload Task event uploaded for counter34
14:18:58:290	Upload Task event uploaded for counter51
14:19:01:513	Upload Task event uploaded for counter55
14:19:04:687	Upload Task event uploaded for counter95
14:19:08:280	Upload Task event uploaded for counter1
14:19:12:173	Upload Task event uploaded for counter2
14:19:15:397	Upload Task event uploaded for counter4
14:19:18:505	Upload Task event uploaded for counter34
14:19:21:540	Upload Task event uploaded for counter45
14:19:24:639	Upload Task event uploaded for counter51
14:19:27:658	Upload Task event uploaded for counter55
14:19:30:685	Upload Task event uploaded for counter93
14:19:33:827	Upload Task event uploaded for counter94
14:19:36:904	Upload Task event uploaded for counter95
14:19:40:153	Upload Task event uploaded for counter1
14:19:43:245	Upload Task event uploaded for counter2
14:19:46:292	Upload Task event uploaded for counter4
14:19:49:393	Upload Task event uploaded for counter34
14:19:52:943	Upload Task event uploaded for counter45
14:19:56:020	Upload Task event uploaded for counter51
14:19:59:059	Upload Task event uploaded for counter55
14:20:02:173	Upload Task event uploaded for counter93
14:20:05:598	Upload Task cancellation request
14:20:05:828	Upload Task completed
