14:16:59:990	Application Starting
14:17:07:257	Upload Task starting
14:17:07:294	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:17:08:448	Upload Task event uploaded for counter1
14:17:21:286	Upload Task event uploaded for counter2
14:17:24:344	Upload Task event uploaded for counter1
14:17:27:399	Upload Task event uploaded for counter2
14:17:30:443	Upload Task event uploaded for counter34
14:17:33:524	Upload Task event uploaded for counter1
14:17:36:574	Upload Task event uploaded for counter2
14:17:39:614	Upload Task event uploaded for counter34
14:17:42:674	Upload Task event uploaded for counter95
14:17:45:728	Upload Task event uploaded for counter1
14:17:48:778	Upload Task event uploaded for counter2
14:17:51:832	Upload Task event uploaded for counter4
14:17:54:872	Upload Task event uploaded for counter34
14:17:57:917	Upload Task event uploaded for counter51
14:18:00:963	Upload Task event uploaded for counter55
14:18:04:025	Upload Task event uploaded for counter95
14:18:07:075	Upload Task event uploaded for counter1
14:18:10:103	Upload Task event uploaded for counter2
14:18:13:164	Upload Task event uploaded for counter4
14:18:16:524	Upload Task event uploaded for counter34
14:18:20:061	Upload Task event uploaded for counter45
14:18:23:094	Upload Task event uploaded for counter51
14:18:26:157	Upload Task event uploaded for counter55
14:18:29:267	Upload Task event uploaded for counter93
14:18:32:291	Upload Task event uploaded for counter94
14:18:35:327	Upload Task event uploaded for counter95
14:18:38:398	Upload Task event uploaded for counter1
14:18:41:426	Upload Task event uploaded for counter2
14:18:44:484	Upload Task event uploaded for counter4
14:18:47:548	Upload Task event uploaded for counter34
14:18:50:588	Upload Task event uploaded for counter45
14:18:53:629	Upload Task event uploaded for counter51
14:18:56:657	Upload Task event uploaded for counter55
14:18:59:689	Upload Task event uploaded for counter93
14:19:02:755	Upload Task event uploaded for counter94
14:19:05:804	Upload Task event uploaded for counter95
14:19:08:886	Upload Task event uploaded for counter1
14:19:11:941	Upload Task event uploaded for counter2
14:19:14:987	Upload Task event uploaded for counter4
14:19:18:021	Upload Task event uploaded for counter34
14:19:21:345	Upload Task event uploaded for counter45
14:19:24:549	Upload Task event uploaded for counter51
14:19:27:607	Upload Task event uploaded for counter55
14:19:30:669	Upload Task event uploaded for counter93
14:19:33:746	Upload Task event uploaded for counter94
14:19:36:800	Upload Task event uploaded for counter95
14:19:39:863	Upload Task event uploaded for counter1
14:19:42:974	Upload Task event uploaded for counter2
14:19:46:090	Upload Task event uploaded for counter4
14:19:49:123	Upload Task event uploaded for counter23
14:19:52:179	Upload Task event uploaded for counter34
14:19:55:222	Upload Task event uploaded for counter41
14:19:58:262	Upload Task event uploaded for counter45
14:20:01:327	Upload Task event uploaded for counter51
14:20:04:375	Upload Task event uploaded for counter55
14:20:07:441	Upload Task event uploaded for counter62
14:20:10:479	Upload Task event uploaded for counter93
14:20:13:530	Upload Task event uploaded for counter94
14:20:16:574	Upload Task event uploaded for counter95
14:20:19:635	Upload Task event uploaded for counter1
14:20:22:682	Upload Task event uploaded for counter2
14:20:25:715	Upload Task event uploaded for counter4
14:20:28:765	Upload Task event uploaded for counter23
14:20:31:859	Upload Task event uploaded for counter34
14:20:34:950	Upload Task event uploaded for counter41
14:20:38:028	Upload Task event uploaded for counter45
14:20:41:072	Upload Task event uploaded for counter51
14:20:44:131	Upload Task event uploaded for counter55
14:20:47:198	Upload Task event uploaded for counter62
14:20:50:268	Upload Task event uploaded for counter79
14:20:53:308	Upload Task event uploaded for counter93
14:20:56:356	Upload Task event uploaded for counter94
14:20:59:459	Upload Task event uploaded for counter95
14:21:02:498	Upload Task event uploaded for counter1
14:21:05:581	Upload Task event uploaded for counter2
14:21:08:638	Upload Task event uploaded for counter4
14:21:11:701	Upload Task event uploaded for counter23
14:21:14:736	Upload Task event uploaded for counter34
14:21:17:970	Upload Task event uploaded for counter41
14:21:21:049	Upload Task event uploaded for counter45
14:21:24:122	Upload Task event uploaded for counter51
14:21:27:231	Upload Task event uploaded for counter55
14:21:30:444	Upload Task event uploaded for counter62
14:21:33:532	Upload Task event uploaded for counter79
14:21:36:560	Upload Task event uploaded for counter84
14:21:39:631	Upload Task event uploaded for counter93
14:21:42:725	Upload Task event uploaded for counter94
14:21:45:794	Upload Task event uploaded for counter95
14:21:48:983	Upload Task event uploaded for counter1
14:21:52:134	Upload Task event uploaded for counter2
14:21:55:286	Upload Task event uploaded for counter4
14:21:58:380	Upload Task event uploaded for counter23
14:22:01:477	Upload Task event uploaded for counter34
14:22:04:554	Upload Task event uploaded for counter41
14:22:07:592	Upload Task event uploaded for counter45
14:22:10:611	Upload Task event uploaded for counter51
14:22:13:650	Upload Task event uploaded for counter55
14:22:16:703	Upload Task event uploaded for counter62
14:22:19:740	Upload Task event uploaded for counter79
14:22:22:778	Upload Task event uploaded for counter84
14:22:25:825	Upload Task event uploaded for counter93
14:22:28:879	Upload Task event uploaded for counter94
14:22:31:952	Upload Task event uploaded for counter95
14:22:35:022	Upload Task event uploaded for counter1
14:22:38:059	Upload Task event uploaded for counter2
14:22:41:241	Upload Task event uploaded for counter4
14:22:44:331	Upload Task event uploaded for counter23
14:22:47:535	Upload Task event uploaded for counter34
14:22:50:576	Upload Task event uploaded for counter41
