21:43:23:698	Application Starting
21:43:25:901	Upload Task starting
21:43:25:906	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/datadays.csv
21:43:26:941	Upload Task event uploaded for counterdevice_sea
21:43:40:479	Upload Task cancellation request
21:43:40:504	Upload Task completed
21:43:43:813	Upload Task starting
21:43:43:823	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/datadays.csv
21:43:44:832	Upload Task event uploaded for counterdevice_sea
21:43:58:952	Upload Task event uploaded for counterdevice_sea
21:44:11:981	Upload Task cancellation request
21:44:11:988	Upload Task completed
21:51:30:740	Upload Task starting
21:51:30:747	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/datadays.csv
21:51:31:754	Upload Task event uploaded for counterdevice_sea
21:51:45:811	Upload Task event uploaded for counterdevice_sea
21:51:59:857	Upload Task event uploaded for counterdevice_sea
21:52:13:878	Upload Task cancellation request
21:52:13:885	Upload Task completed
