14:07:41:810	Application Starting
14:07:55:225	Upload Task starting
14:07:55:263	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:07:56:959	Upload Task event uploaded for counter1
14:08:16:491	Upload Task event uploaded for counter2
14:08:20:419	Upload Task event uploaded for counter1
14:08:23:757	Upload Task event uploaded for counter2
14:08:27:671	Upload Task event uploaded for counter34
14:08:31:360	Upload Task event uploaded for counter1
14:08:36:101	Upload Task event uploaded for counter2
14:08:41:152	Upload Task event uploaded for counter34
14:08:44:441	Upload Task event uploaded for counter95
14:08:47:607	Upload Task event uploaded for counter1
14:08:50:816	Upload Task event uploaded for counter2
14:08:54:970	Upload Task event uploaded for counter4
14:08:58:022	Upload Task event uploaded for counter34
14:09:01:136	Upload Task event uploaded for counter51
14:09:04:193	Upload Task event uploaded for counter55
14:09:07:323	Upload Task event uploaded for counter95
14:09:10:377	Upload Task event uploaded for counter1
14:09:13:408	Upload Task event uploaded for counter2
14:09:16:479	Upload Task event uploaded for counter4
14:09:19:525	Upload Task event uploaded for counter34
14:09:22:552	Upload Task event uploaded for counter45
14:09:25:668	Upload Task event uploaded for counter51
14:09:28:699	Upload Task event uploaded for counter55
14:09:31:730	Upload Task event uploaded for counter93
14:09:34:885	Upload Task event uploaded for counter94
14:09:37:984	Upload Task event uploaded for counter95
14:09:41:482	Upload Task event uploaded for counter1
14:09:44:591	Upload Task event uploaded for counter2
14:09:47:869	Upload Task event uploaded for counter4
14:09:50:977	Upload Task event uploaded for counter34
14:09:54:147	Upload Task event uploaded for counter45
14:09:58:456	Upload Task event uploaded for counter51
14:10:01:564	Upload Task event uploaded for counter55
14:10:04:767	Upload Task event uploaded for counter93
14:10:08:665	Upload Task event uploaded for counter94
14:10:11:780	Upload Task event uploaded for counter95
14:10:14:922	Upload Task event uploaded for counter1
14:10:18:271	Upload Task event uploaded for counter2
14:10:21:913	Upload Task event uploaded for counter4
14:10:25:460	Upload Task event uploaded for counter34
14:10:28:771	Upload Task event uploaded for counter45
14:10:32:092	Upload Task event uploaded for counter51
14:10:35:294	Upload Task event uploaded for counter55
14:10:39:103	Upload Task event uploaded for counter93
14:10:42:370	Upload Task event uploaded for counter94
14:10:45:643	Upload Task event uploaded for counter95
14:10:49:035	Upload Task event uploaded for counter1
14:10:52:533	Upload Task event uploaded for counter2
14:10:55:691	Upload Task event uploaded for counter4
14:10:58:770	Upload Task event uploaded for counter23
14:11:01:908	Upload Task event uploaded for counter34
14:11:05:064	Upload Task event uploaded for counter41
14:11:08:134	Upload Task event uploaded for counter45
14:11:11:308	Upload Task event uploaded for counter51
14:11:15:097	Upload Task event uploaded for counter55
14:11:18:129	Upload Task event uploaded for counter62
14:11:21:404	Upload Task cancellation request
14:11:21:552	Upload Task completed
