14:53:57:534	Application Starting
14:54:03:948	Upload Task starting
14:54:03:977	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:54:05:290	Upload Task event uploaded for counter1
14:54:20:868	Upload Task event uploaded for counter2
14:54:23:954	Upload Task event uploaded for counter1
14:54:27:000	Upload Task event uploaded for counter2
14:54:30:104	Upload Task event uploaded for counter34
14:54:33:209	Upload Task event uploaded for counter1
14:54:36:688	Upload Task event uploaded for counter2
14:54:39:977	Upload Task event uploaded for counter34
14:54:43:046	Upload Task event uploaded for counter95
14:54:46:093	Upload Task event uploaded for counter1
14:54:49:128	Upload Task event uploaded for counter2
14:54:52:167	Upload Task event uploaded for counter4
14:54:55:251	Upload Task event uploaded for counter34
14:54:58:289	Upload Task event uploaded for counter51
14:55:01:346	Upload Task event uploaded for counter55
14:55:04:451	Upload Task event uploaded for counter95
14:55:07:636	Upload Task event uploaded for counter1
14:55:10:743	Upload Task event uploaded for counter2
14:55:13:828	Upload Task event uploaded for counter4
14:55:16:903	Upload Task event uploaded for counter34
14:55:19:967	Upload Task event uploaded for counter45
14:55:23:090	Upload Task event uploaded for counter51
14:55:26:402	Upload Task event uploaded for counter55
14:55:29:739	Upload Task event uploaded for counter93
14:55:32:962	Upload Task event uploaded for counter94
14:55:36:089	Upload Task event uploaded for counter95
14:55:39:309	Upload Task event uploaded for counter1
14:55:42:453	Upload Task event uploaded for counter2
14:55:45:667	Upload Task event uploaded for counter4
14:55:49:113	Upload Task event uploaded for counter34
14:55:53:026	Upload Task event uploaded for counter45
14:55:57:032	Upload Task event uploaded for counter51
14:56:00:168	Upload Task event uploaded for counter55
14:56:03:205	Upload Task event uploaded for counter93
14:56:06:360	Upload Task event uploaded for counter94
14:56:09:407	Upload Task event uploaded for counter95
14:56:12:448	Upload Task event uploaded for counter1
14:56:15:474	Upload Task event uploaded for counter2
14:56:18:526	Upload Task event uploaded for counter4
14:56:21:676	Upload Task event uploaded for counter34
14:56:25:207	Upload Task event uploaded for counter45
14:56:28:239	Upload Task event uploaded for counter51
14:56:31:290	Upload Task event uploaded for counter55
14:56:34:352	Upload Task event uploaded for counter93
14:56:37:413	Upload Task event uploaded for counter94
14:56:40:582	Upload Task event uploaded for counter95
14:56:43:641	Upload Task event uploaded for counter1
14:56:46:810	Upload Task event uploaded for counter2
14:56:49:969	Upload Task event uploaded for counter4
14:56:53:206	Upload Task event uploaded for counter23
14:56:56:256	Upload Task event uploaded for counter34
14:56:59:580	Upload Task event uploaded for counter41
14:57:02:929	Upload Task event uploaded for counter45
14:57:06:321	Upload Task event uploaded for counter51
14:57:09:576	Upload Task event uploaded for counter55
14:57:12:621	Upload Task event uploaded for counter62
14:57:15:962	Upload Task event uploaded for counter93
14:57:19:162	Upload Task event uploaded for counter94
14:57:22:291	Upload Task event uploaded for counter95
14:57:25:349	Upload Task event uploaded for counter1
14:57:28:473	Upload Task event uploaded for counter2
14:57:31:492	Upload Task event uploaded for counter4
14:57:34:514	Upload Task event uploaded for counter23
14:57:37:545	Upload Task event uploaded for counter34
14:57:40:589	Upload Task event uploaded for counter41
14:57:43:605	Upload Task event uploaded for counter45
14:57:46:629	Upload Task event uploaded for counter51
14:57:49:753	Upload Task event uploaded for counter55
14:57:52:843	Upload Task event uploaded for counter62
14:57:55:906	Upload Task event uploaded for counter79
