13:20:58:165	Application Starting
13:21:03:959	Upload Task starting
13:21:03:991	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
13:21:05:188	Upload Task event uploaded for counter1
13:21:19:648	Upload Task event uploaded for counter2
13:21:22:708	Upload Task event uploaded for counter1
13:21:25:828	Upload Task event uploaded for counter2
13:21:29:034	Upload Task event uploaded for counter34
13:21:32:055	Upload Task event uploaded for counter1
13:21:35:176	Upload Task event uploaded for counter2
13:21:38:516	Upload Task event uploaded for counter34
13:21:41:548	Upload Task event uploaded for counter95
13:21:44:646	Upload Task event uploaded for counter1
13:21:47:675	Upload Task event uploaded for counter2
13:21:50:708	Upload Task event uploaded for counter4
13:21:53:757	Upload Task event uploaded for counter34
13:21:56:798	Upload Task event uploaded for counter51
13:21:59:844	Upload Task event uploaded for counter55
13:22:02:872	Upload Task event uploaded for counter95
13:22:05:935	Upload Task event uploaded for counter1
13:22:09:007	Upload Task event uploaded for counter2
13:22:12:105	Upload Task event uploaded for counter4
13:22:15:984	Upload Task event uploaded for counter34
13:22:19:407	Upload Task event uploaded for counter45
13:22:22:666	Upload Task event uploaded for counter51
13:22:26:219	Upload Task event uploaded for counter55
13:22:30:772	Upload Task event uploaded for counter93
13:22:35:441	Upload Task event uploaded for counter94
13:22:40:187	Upload Task event uploaded for counter95
13:22:45:107	Upload Task event uploaded for counter1
13:22:48:275	Upload Task event uploaded for counter2
13:22:51:440	Upload Task event uploaded for counter4
13:22:55:012	Upload Task event uploaded for counter34
13:22:59:560	Upload Task event uploaded for counter45
13:23:04:508	Upload Task event uploaded for counter51
13:23:09:302	Upload Task event uploaded for counter55
13:23:13:106	Upload Task event uploaded for counter93
13:23:16:823	Upload Task event uploaded for counter94
13:23:19:953	Upload Task event uploaded for counter95
13:23:23:466	Upload Task event uploaded for counter1
13:23:27:010	Upload Task event uploaded for counter2
13:23:30:120	Upload Task event uploaded for counter4
13:23:33:572	Upload Task event uploaded for counter34
13:23:37:207	Upload Task event uploaded for counter45
13:23:40:846	Upload Task event uploaded for counter51
13:23:44:187	Upload Task event uploaded for counter55
13:23:47:655	Upload Task event uploaded for counter93
13:23:50:718	Upload Task event uploaded for counter94
13:23:53:957	Upload Task event uploaded for counter95
13:23:58:157	Upload Task event uploaded for counter1
13:24:02:208	Upload Task event uploaded for counter2
13:24:05:417	Upload Task event uploaded for counter4
13:24:08:617	Upload Task event uploaded for counter23
13:24:11:700	Upload Task event uploaded for counter34
13:24:14:731	Upload Task event uploaded for counter41
13:24:17:760	Upload Task event uploaded for counter45
13:24:20:904	Upload Task event uploaded for counter51
13:24:23:963	Upload Task event uploaded for counter55
13:24:26:991	Upload Task event uploaded for counter62
13:24:30:029	Upload Task event uploaded for counter93
13:24:33:053	Upload Task event uploaded for counter94
13:24:36:095	Upload Task event uploaded for counter95
13:24:39:136	Upload Task event uploaded for counter1
13:24:42:225	Upload Task event uploaded for counter2
13:24:45:273	Upload Task event uploaded for counter4
13:24:48:300	Upload Task event uploaded for counter23
13:24:51:319	Upload Task event uploaded for counter34
13:24:54:361	Upload Task event uploaded for counter41
13:24:57:394	Upload Task event uploaded for counter45
13:25:00:450	Upload Task event uploaded for counter51
13:25:03:508	Upload Task event uploaded for counter55
13:25:06:775	Upload Task event uploaded for counter62
13:25:10:063	Upload Task event uploaded for counter79
13:25:13:170	Upload Task event uploaded for counter93
13:25:16:257	Upload Task cancellation request
13:25:16:284	Upload Task completed
