15:51:24:954	Application Starting
15:51:35:589	Upload Task starting
15:51:35:618	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
15:51:37:007	Upload Task event uploaded for counter1
15:51:52:973	Upload Task event uploaded for counter2
15:51:55:986	Upload Task event uploaded for counter1
15:51:59:022	Upload Task event uploaded for counter2
15:52:02:039	Upload Task event uploaded for counter34
15:52:05:105	Upload Task event uploaded for counter1
15:52:10:104	Upload Task event uploaded for counter2
15:52:13:216	Upload Task event uploaded for counter34
15:52:16:275	Upload Task event uploaded for counter95
15:52:19:296	Upload Task event uploaded for counter1
15:52:22:309	Upload Task event uploaded for counter2
15:52:25:367	Upload Task event uploaded for counter4
15:52:28:403	Upload Task event uploaded for counter34
15:52:31:418	Upload Task event uploaded for counter51
15:52:34:457	Upload Task event uploaded for counter55
15:52:37:506	Upload Task event uploaded for counter95
15:52:40:569	Upload Task event uploaded for counter1
15:52:43:591	Upload Task event uploaded for counter2
15:52:46:625	Upload Task event uploaded for counter4
15:52:49:657	Upload Task event uploaded for counter34
15:52:52:684	Upload Task event uploaded for counter45
15:52:55:702	Upload Task event uploaded for counter51
15:52:58:726	Upload Task event uploaded for counter55
15:53:01:742	Upload Task event uploaded for counter93
15:53:04:754	Upload Task event uploaded for counter94
15:53:07:768	Upload Task event uploaded for counter95
15:53:10:800	Upload Task event uploaded for counter1
15:53:13:817	Upload Task event uploaded for counter2
15:53:16:951	Upload Task event uploaded for counter4
15:53:20:008	Upload Task event uploaded for counter34
15:53:23:066	Upload Task event uploaded for counter45
15:53:26:184	Upload Task event uploaded for counter51
15:53:31:020	Upload Task event uploaded for counter55
15:53:34:047	Upload Task event uploaded for counter93
15:53:37:072	Upload Task event uploaded for counter94
15:53:40:094	Upload Task event uploaded for counter95
15:53:43:124	Upload Task cancellation request
15:53:43:142	Upload Task completed
