22:54:10:927	Application Starting
22:54:13:346	Upload Task starting
22:54:13:355	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
22:54:14:426	Upload Task event uploaded for counterdevice_aus
22:54:24:075	Upload Task event uploaded for counterddevice_aus
22:54:28:162	Upload Task event uploaded for counterdevice_aus
22:54:57:299	Upload Task event uploaded for counterddevice_aus
22:55:01:378	Upload Task event uploaded for counterdevice_aus
22:55:10:597	Upload Task event uploaded for counterddevice_aus
22:55:14:612	Upload Task event uploaded for counterdevice_aus
22:55:23:646	Upload Task event uploaded for counterddevice_aus
22:55:27:658	Upload Task event uploaded for counterdevice_aus
22:55:36:701	Upload Task event uploaded for counterddevice_aus
22:55:40:716	Upload Task event uploaded for counterdevice_aus
22:55:49:761	Upload Task event uploaded for counterddevice_aus
22:55:53:773	Upload Task event uploaded for counterdevice_aus
22:56:02:804	Upload Task event uploaded for counterddevice_aus
22:56:06:813	Upload Task event uploaded for counterdevice_aus
22:56:15:857	Upload Task event uploaded for counterddevice_aus
22:56:19:869	Upload Task event uploaded for counterdevice_aus
22:56:28:901	Upload Task event uploaded for counterddevice_aus
22:56:32:914	Upload Task event uploaded for counterdevice_aus
22:56:41:968	Upload Task event uploaded for counterddevice_aus
22:56:46:021	Upload Task event uploaded for counterdevice_aus
22:56:55:049	Upload Task event uploaded for counterddevice_aus
22:56:59:062	Upload Task event uploaded for counterdevice_aus
22:57:08:091	Upload Task event uploaded for counterddevice_aus
22:57:12:105	Upload Task event uploaded for counterdevice_aus
22:57:21:157	Upload Task event uploaded for counterddevice_aus
22:57:25:172	Upload Task event uploaded for counterdevice_aus
22:57:34:207	Upload Task event uploaded for counterddevice_aus
22:57:38:227	Upload Task event uploaded for counterdevice_aus
22:57:47:319	Upload Task event uploaded for counterddevice_aus
22:57:51:366	Upload Task event uploaded for counterdevice_aus
22:58:00:511	Upload Task event uploaded for counterddevice_aus
22:58:04:650	Upload Task event uploaded for counterdevice_aus
22:58:13:828	Upload Task event uploaded for counterddevice_aus
22:58:17:906	Upload Task event uploaded for counterdevice_aus
22:58:26:947	Upload Task event uploaded for counterddevice_aus
22:58:30:976	Upload Task event uploaded for counterdevice_aus
22:58:40:126	Upload Task event uploaded for counterddevice_aus
22:58:44:166	Upload Task event uploaded for counterdevice_aus
22:58:53:278	Upload Task event uploaded for counterddevice_aus
22:58:57:334	Upload Task event uploaded for counterdevice_aus
22:59:06:793	Upload Task event uploaded for counterddevice_aus
22:59:10:922	Upload Task event uploaded for counterdevice_aus
22:59:20:114	Upload Task event uploaded for counterddevice_aus
22:59:24:152	Upload Task event uploaded for counterdevice_aus
22:59:33:217	Upload Task event uploaded for counterddevice_aus
22:59:37:332	Upload Task event uploaded for counterdevice_aus
22:59:46:457	Upload Task event uploaded for counterddevice_aus
22:59:50:549	Upload Task event uploaded for counterdevice_aus
22:59:59:632	Upload Task event uploaded for counterddevice_aus
23:00:03:860	Upload Task event uploaded for counterdevice_aus
23:00:13:027	Upload Task event uploaded for counterddevice_aus
23:00:17:072	Upload Task event uploaded for counterdevice_aus
23:00:26:136	Upload Task event uploaded for counterddevice_aus
23:00:30:200	Upload Task event uploaded for counterdevice_aus
23:00:39:649	Upload Task event uploaded for counterddevice_aus
23:00:43:697	Upload Task event uploaded for counterdevice_aus
23:00:52:858	Upload Task event uploaded for counterddevice_aus
23:00:57:338	Upload Task event uploaded for counterdevice_aus
23:01:06:413	Upload Task event uploaded for counterddevice_aus
23:01:10:504	Upload Task event uploaded for counterdevice_aus
23:01:19:561	Upload Task event uploaded for counterddevice_aus
23:01:23:682	Upload Task event uploaded for counterdevice_aus
