22:10:02:115	Application Starting
22:10:04:854	Upload Task starting
22:10:04:882	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
22:10:05:980	Upload Task event uploaded for counter1
22:10:18:778	Upload Task event uploaded for counter2
22:10:21:796	Upload Task event uploaded for counter1
22:10:24:847	Upload Task event uploaded for counter2
22:10:27:869	Upload Task event uploaded for counter34
22:10:30:882	Upload Task event uploaded for counter1
22:10:33:915	Upload Task event uploaded for counter2
22:10:36:932	Upload Task event uploaded for counter34
22:10:39:946	Upload Task event uploaded for counter95
22:10:42:987	Upload Task event uploaded for counter1
22:10:46:017	Upload Task event uploaded for counter2
22:10:49:031	Upload Task event uploaded for counter4
22:10:52:051	Upload Task event uploaded for counter34
22:10:55:065	Upload Task event uploaded for counter51
22:10:58:077	Upload Task event uploaded for counter55
22:11:01:098	Upload Task event uploaded for counter95
22:11:04:118	Upload Task event uploaded for counter1
22:11:07:135	Upload Task event uploaded for counter2
22:11:10:148	Upload Task event uploaded for counter4
22:11:13:178	Upload Task event uploaded for counter34
22:11:16:196	Upload Task event uploaded for counter45
22:11:19:209	Upload Task event uploaded for counter51
22:11:22:263	Upload Task event uploaded for counter55
22:11:25:282	Upload Task event uploaded for counter93
22:11:28:318	Upload Task event uploaded for counter94
22:11:31:432	Upload Task event uploaded for counter95
22:11:34:586	Upload Task event uploaded for counter1
22:11:37:612	Upload Task event uploaded for counter2
22:11:40:640	Upload Task event uploaded for counter4
22:11:43:678	Upload Task event uploaded for counter34
22:11:46:695	Upload Task event uploaded for counter45
22:11:49:729	Upload Task event uploaded for counter51
22:11:52:900	Upload Task event uploaded for counter55
22:11:55:932	Upload Task event uploaded for counter93
22:11:58:952	Upload Task event uploaded for counter94
22:12:02:007	Upload Task event uploaded for counter95
22:12:05:025	Upload Task event uploaded for counter1
22:12:08:055	Upload Task event uploaded for counter2
22:12:11:103	Upload Task event uploaded for counter4
22:12:14:116	Upload Task event uploaded for counter34
22:12:17:132	Upload Task event uploaded for counter45
22:12:20:146	Upload Task event uploaded for counter51
22:12:23:166	Upload Task event uploaded for counter55
22:12:26:191	Upload Task event uploaded for counter93
22:12:29:217	Upload Task event uploaded for counter94
22:12:32:235	Upload Task event uploaded for counter95
22:12:35:254	Upload Task event uploaded for counter1
22:12:38:290	Upload Task event uploaded for counter2
22:12:41:312	Upload Task event uploaded for counter4
22:12:44:336	Upload Task event uploaded for counter23
22:12:47:384	Upload Task event uploaded for counter34
22:12:50:419	Upload Task event uploaded for counter41
22:12:53:446	Upload Task event uploaded for counter45
22:12:56:488	Upload Task event uploaded for counter51
22:12:59:504	Upload Task event uploaded for counter55
22:13:02:525	Upload Task event uploaded for counter62
22:13:05:541	Upload Task event uploaded for counter93
22:13:08:560	Upload Task event uploaded for counter94
22:13:11:576	Upload Task event uploaded for counter95
22:13:14:589	Upload Task event uploaded for counter1
22:13:17:605	Upload Task event uploaded for counter2
22:13:20:630	Upload Task event uploaded for counter4
22:13:23:643	Upload Task event uploaded for counter23
22:13:26:673	Upload Task event uploaded for counter34
22:13:29:698	Upload Task event uploaded for counter41
22:13:32:727	Upload Task event uploaded for counter45
22:13:35:743	Upload Task event uploaded for counter51
22:13:38:784	Upload Task event uploaded for counter55
22:13:41:796	Upload Task event uploaded for counter62
22:13:44:812	Upload Task event uploaded for counter79
22:13:47:843	Upload Task event uploaded for counter93
22:13:50:867	Upload Task event uploaded for counter94
22:13:53:920	Upload Task event uploaded for counter95
22:13:56:936	Upload Task event uploaded for counter1
22:13:59:959	Upload Task event uploaded for counter2
22:14:03:022	Upload Task event uploaded for counter4
22:14:06:051	Upload Task event uploaded for counter23
22:14:09:096	Upload Task event uploaded for counter34
22:14:12:110	Upload Task event uploaded for counter41
22:14:15:124	Upload Task event uploaded for counter45
22:14:18:184	Upload Task event uploaded for counter51
22:14:21:450	Upload Task event uploaded for counter55
22:14:24:465	Upload Task event uploaded for counter62
22:14:27:502	Upload Task event uploaded for counter79
22:14:30:526	Upload Task event uploaded for counter84
22:14:33:543	Upload Task event uploaded for counter93
22:14:36:558	Upload Task event uploaded for counter94
22:14:39:575	Upload Task event uploaded for counter95
22:14:42:600	Upload Task event uploaded for counter1
22:14:45:619	Upload Task event uploaded for counter2
22:14:48:650	Upload Task event uploaded for counter4
22:14:51:678	Upload Task event uploaded for counter23
22:14:54:693	Upload Task event uploaded for counter34
22:14:57:710	Upload Task event uploaded for counter41
22:15:00:740	Upload Task event uploaded for counter45
22:15:03:759	Upload Task event uploaded for counter51
22:15:06:795	Upload Task event uploaded for counter55
22:15:09:811	Upload Task event uploaded for counter62
22:15:12:854	Upload Task event uploaded for counter79
22:15:15:868	Upload Task event uploaded for counter84
22:15:18:892	Upload Task event uploaded for counter93
22:15:21:905	Upload Task event uploaded for counter94
22:15:24:923	Upload Task event uploaded for counter95
22:15:27:957	Upload Task event uploaded for counter1
22:15:30:979	Upload Task event uploaded for counter2
22:15:34:017	Upload Task event uploaded for counter4
22:15:37:033	Upload Task event uploaded for counter23
22:15:40:064	Upload Task event uploaded for counter34
22:15:43:086	Upload Task event uploaded for counter41
22:15:46:113	Upload Task event uploaded for counter45
22:15:49:126	Upload Task event uploaded for counter47
22:15:52:161	Upload Task event uploaded for counter51
22:15:55:176	Upload Task event uploaded for counter55
22:15:58:198	Upload Task event uploaded for counter59
22:16:01:241	Upload Task event uploaded for counter62
22:16:04:256	Upload Task event uploaded for counter79
22:16:07:272	Upload Task event uploaded for counter84
22:16:10:295	Upload Task event uploaded for counter93
22:16:13:321	Upload Task event uploaded for counter94
22:16:16:346	Upload Task event uploaded for counter95
22:16:19:365	Upload Task event uploaded for counter1
22:16:22:378	Upload Task event uploaded for counter2
