22:14:41:121	Application Starting
22:14:46:169	Upload Task starting
22:14:46:186	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
22:14:47:255	Upload Task event uploaded for counterdevice_aus
22:14:56:983	Upload Task event uploaded for counterddevice_aus
22:15:01:007	Upload Task event uploaded for counterdevice_aus
22:15:10:090	Upload Task event uploaded for counterddevice_aus
22:15:14:118	Upload Task event uploaded for counterdevice_aus
22:15:23:188	Upload Task event uploaded for counterddevice_aus
22:15:27:286	Upload Task event uploaded for counterdevice_aus
22:15:36:400	Upload Task cancellation request
22:15:36:406	Upload Task completed
