14:10:19:537	Application Starting
14:10:32:476	Upload Task starting
14:10:32:486	Data File: C:\RaviTella\Source\Repos\SimulatorLight\bin\Release\Data/skype.csv
14:10:34:167	Upload Task event uploaded for counter2019-05-30 14:01:58.777
14:10:37:905	Upload Task event uploaded for counter2019-04-01 21:24:26.180
14:10:40:930	Upload Task event uploaded for counter2019-05-28 13:45:20.997
14:10:43:950	Upload Task event uploaded for counter2019-05-02 17:59:22.357
14:10:47:974	Upload Task event uploaded for counter2019-05-30 14:01:58.777
14:10:51:012	Upload Task event uploaded for counter2019-04-01 21:24:26.180
14:10:54:065	Upload Task event uploaded for counter2019-05-28 13:45:20.997
14:10:57:119	Upload Task event uploaded for counter2019-05-02 17:59:22.357
14:11:01:139	Upload Task event uploaded for counter2019-05-30 14:01:58.777
