12:19:56:956	Application Starting
12:20:00:717	Upload Task starting
12:20:00:743	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
12:20:01:982	Upload Task event uploaded for counterdevice_sea
12:20:12:930	Upload Task event uploaded for counterddevice_sea
12:20:16:947	Upload Task event uploaded for counterdevice_sea
12:20:26:031	Upload Task event uploaded for counterddevice_sea
12:20:30:053	Upload Task event uploaded for counterdevice_sea
12:20:39:228	Upload Task event uploaded for counterddevice_sea
12:20:43:439	Upload Task event uploaded for counterdevice_sea
12:20:53:456	Upload Task cancellation request
12:20:53:462	Upload Task completed
