12:08:00:921	Application Starting
12:08:17:661	Upload Task starting
12:08:17:674	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
12:08:19:080	Upload Task event uploaded for counterdevice_sea
12:08:31:892	Upload Task event uploaded for counterddevice_sea
12:08:35:970	Upload Task event uploaded for counterdevice_sea
12:08:45:252	Upload Task event uploaded for counterddevice_sea
12:08:49:268	Upload Task event uploaded for counterdevice_sea
12:08:58:440	Upload Task event uploaded for counterddevice_sea
12:09:03:312	Upload Task event uploaded for counterdevice_sea
12:09:12:410	Upload Task event uploaded for counterddevice_sea
12:09:16:972	Upload Task event uploaded for counterdevice_sea
12:09:26:899	Upload Task cancellation request
12:09:26:909	Upload Task completed
