12:02:45:651	Application Starting
12:02:52:276	Upload Task starting
12:02:52:285	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
12:02:53:401	Upload Task event uploaded for counterdevice_sea
12:03:04:530	Upload Task event uploaded for counterddevice_sea
12:03:08:691	Upload Task event uploaded for counterdevice_sea
12:03:19:423	Upload Task event uploaded for counterddevice_sea
12:03:23:468	Upload Task event uploaded for counterdevice_sea
12:03:32:594	Upload Task cancellation request
12:03:32:604	Upload Task completed
12:07:37:158	Upload Task starting
12:07:37:192	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
12:07:38:212	Upload Task event uploaded for counterdevice_sea
12:07:47:442	Upload Task event uploaded for counterddevice_sea
12:07:50:662	Upload Task cancellation request
12:07:50:678	Upload Task completed
