15:57:59:065	Application Starting
15:58:03:913	Upload Task starting
15:58:03:962	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
15:58:05:194	Upload Task event uploaded for counter1
15:58:18:593	Upload Task event uploaded for counter2
15:58:21:700	Upload Task event uploaded for counter1
15:58:24:792	Upload Task event uploaded for counter2
15:58:28:007	Upload Task event uploaded for counter34
15:58:32:067	Upload Task event uploaded for counter1
15:58:35:950	Upload Task event uploaded for counter2
15:58:40:181	Upload Task event uploaded for counter34
15:58:43:277	Upload Task event uploaded for counter95
15:58:46:300	Upload Task event uploaded for counter1
15:58:49:327	Upload Task event uploaded for counter2
15:58:52:366	Upload Task event uploaded for counter4
15:58:55:379	Upload Task event uploaded for counter34
15:58:58:406	Upload Task event uploaded for counter51
15:59:01:420	Upload Task event uploaded for counter55
15:59:04:435	Upload Task event uploaded for counter95
15:59:07:458	Upload Task event uploaded for counter1
15:59:10:481	Upload Task event uploaded for counter2
15:59:13:517	Upload Task event uploaded for counter4
15:59:16:529	Upload Task event uploaded for counter34
15:59:19:546	Upload Task event uploaded for counter45
15:59:22:573	Upload Task event uploaded for counter51
15:59:25:589	Upload Task event uploaded for counter55
15:59:28:611	Upload Task event uploaded for counter93
15:59:31:633	Upload Task event uploaded for counter94
15:59:34:679	Upload Task event uploaded for counter95
15:59:37:707	Upload Task cancellation request
15:59:37:732	Upload Task completed
