11:18:03:788	Application Starting
11:18:06:154	Upload Task starting
11:18:06:162	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:18:07:229	Upload Task event uploaded for counterdevice_sea
11:18:17:203	Upload Task event uploaded for counterddevice_sea
11:18:21:230	Upload Task event uploaded for counterdevice_sea
11:18:30:933	Upload Task cancellation request
11:18:30:939	Upload Task completed
11:20:11:005	Upload Task starting
11:20:11:015	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:20:12:020	Upload Task event uploaded for counterdevice_sea
11:20:21:797	Upload Task event uploaded for counterddevice_sea
11:20:25:812	Upload Task event uploaded for counterdevice_sea
