20:42:14:139	Application Starting
20:42:20:965	Upload Task starting
20:42:20:974	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
20:42:22:058	Upload Task event uploaded for counter1
20:42:33:977	Upload Task event uploaded for counter2
20:42:37:012	Upload Task event uploaded for counter1
20:42:40:026	Upload Task event uploaded for counter2
20:42:43:051	Upload Task event uploaded for counter34
20:42:46:070	Upload Task event uploaded for counter1
20:42:49:107	Upload Task event uploaded for counter2
20:42:52:124	Upload Task event uploaded for counter34
20:42:55:169	Upload Task event uploaded for counter95
20:42:58:196	Upload Task event uploaded for counter1
20:43:01:225	Upload Task event uploaded for counter2
20:43:04:250	Upload Task event uploaded for counter4
20:43:07:272	Upload Task event uploaded for counter34
20:43:10:287	Upload Task event uploaded for counter51
20:43:13:308	Upload Task event uploaded for counter55
20:43:16:324	Upload Task event uploaded for counter95
20:43:19:348	Upload Task event uploaded for counter1
20:43:22:367	Upload Task event uploaded for counter2
20:43:25:382	Upload Task event uploaded for counter4
20:43:28:413	Upload Task event uploaded for counter34
20:43:31:450	Upload Task event uploaded for counter45
20:43:34:465	Upload Task event uploaded for counter51
20:43:37:479	Upload Task event uploaded for counter55
20:43:40:496	Upload Task event uploaded for counter93
20:43:43:539	Upload Task event uploaded for counter94
20:43:46:553	Upload Task event uploaded for counter95
20:43:49:572	Upload Task event uploaded for counter1
20:43:52:623	Upload Task event uploaded for counter2
20:43:55:643	Upload Task event uploaded for counter4
20:43:58:663	Upload Task event uploaded for counter34
20:44:01:708	Upload Task event uploaded for counter45
20:44:04:723	Upload Task event uploaded for counter51
20:44:07:749	Upload Task event uploaded for counter55
20:44:10:785	Upload Task event uploaded for counter93
20:44:13:809	Upload Task event uploaded for counter94
20:44:16:823	Upload Task event uploaded for counter95
20:44:19:838	Upload Task event uploaded for counter1
20:44:22:851	Upload Task event uploaded for counter2
20:44:25:869	Upload Task event uploaded for counter4
20:44:28:899	Upload Task event uploaded for counter34
20:44:31:925	Upload Task event uploaded for counter45
20:44:34:941	Upload Task event uploaded for counter51
20:44:37:957	Upload Task event uploaded for counter55
20:44:41:063	Upload Task event uploaded for counter93
20:44:44:223	Upload Task event uploaded for counter94
20:44:47:401	Upload Task event uploaded for counter95
20:44:50:439	Upload Task event uploaded for counter1
20:44:53:689	Upload Task event uploaded for counter2
20:44:56:739	Upload Task event uploaded for counter4
20:44:59:799	Upload Task event uploaded for counter23
20:45:02:814	Upload Task event uploaded for counter34
20:45:05:829	Upload Task event uploaded for counter41
20:45:08:850	Upload Task event uploaded for counter45
20:45:11:890	Upload Task event uploaded for counter51
20:45:14:946	Upload Task event uploaded for counter55
20:45:17:967	Upload Task event uploaded for counter62
20:45:20:985	Upload Task event uploaded for counter93
20:45:23:998	Upload Task event uploaded for counter94
20:45:27:013	Upload Task event uploaded for counter95
20:45:30:037	Upload Task event uploaded for counter1
20:45:33:054	Upload Task event uploaded for counter2
20:45:36:084	Upload Task event uploaded for counter4
