11:24:55:343	Application Starting
11:24:59:430	Upload Task starting
11:24:59:441	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:25:00:533	Upload Task event uploaded for counterdevice_sea
11:25:10:959	Upload Task event uploaded for counterddevice_sea
11:25:14:972	Upload Task event uploaded for counterdevice_sea
11:25:24:037	Upload Task event uploaded for counterddevice_sea
11:25:28:060	Upload Task event uploaded for counterdevice_sea
11:25:37:139	Upload Task cancellation request
11:25:37:145	Upload Task completed
11:29:43:809	Upload Task starting
11:29:43:844	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:29:44:865	Upload Task event uploaded for counterdevice_sea
11:29:54:102	Upload Task event uploaded for counterddevice_sea
11:29:58:250	Upload Task event uploaded for counterdevice_sea
