15:20:55:202	Application Starting
15:25:19:202	Upload Task starting
15:25:19:280	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
15:25:21:110	Upload Task event uploaded for counter1
15:25:35:725	Upload Task event uploaded for counter2
15:25:38:758	Upload Task event uploaded for counter1
15:25:41:822	Upload Task event uploaded for counter2
15:25:44:960	Upload Task event uploaded for counter34
15:25:48:032	Upload Task event uploaded for counter1
15:25:51:082	Upload Task event uploaded for counter2
15:25:54:172	Upload Task event uploaded for counter34
15:25:57:693	Upload Task event uploaded for counter95
15:26:00:755	Upload Task event uploaded for counter1
15:26:03:926	Upload Task event uploaded for counter2
15:26:07:184	Upload Task event uploaded for counter4
15:26:10:421	Upload Task event uploaded for counter34
15:26:13:862	Upload Task event uploaded for counter51
15:26:16:982	Upload Task event uploaded for counter55
15:26:20:042	Upload Task event uploaded for counter95
15:26:23:123	Upload Task event uploaded for counter1
15:26:26:254	Upload Task event uploaded for counter2
15:26:29:311	Upload Task event uploaded for counter4
15:26:32:529	Upload Task event uploaded for counter34
15:26:35:642	Upload Task event uploaded for counter45
15:26:39:091	Upload Task event uploaded for counter51
15:26:42:312	Upload Task event uploaded for counter55
15:26:45:631	Upload Task event uploaded for counter93
15:26:49:017	Upload Task event uploaded for counter94
15:26:52:888	Upload Task event uploaded for counter95
15:26:56:036	Upload Task event uploaded for counter1
15:26:59:923	Upload Task event uploaded for counter2
15:27:03:256	Upload Task event uploaded for counter4
15:27:07:672	Upload Task event uploaded for counter34
15:27:11:081	Upload Task event uploaded for counter45
15:27:14:141	Upload Task event uploaded for counter51
15:27:17:183	Upload Task event uploaded for counter55
15:27:20:226	Upload Task event uploaded for counter93
15:27:23:260	Upload Task event uploaded for counter94
15:27:26:456	Upload Task event uploaded for counter95
15:27:29:527	Upload Task event uploaded for counter1
15:27:32:562	Upload Task event uploaded for counter2
15:27:35:597	Upload Task event uploaded for counter4
15:27:38:637	Upload Task event uploaded for counter34
15:27:41:654	Upload Task event uploaded for counter45
15:27:44:679	Upload Task event uploaded for counter51
15:27:47:719	Upload Task event uploaded for counter55
15:27:50:776	Upload Task event uploaded for counter93
15:27:53:805	Upload Task event uploaded for counter94
15:27:56:857	Upload Task event uploaded for counter95
15:27:59:891	Upload Task event uploaded for counter1
15:28:02:917	Upload Task event uploaded for counter2
15:28:05:956	Upload Task event uploaded for counter4
15:28:08:992	Upload Task event uploaded for counter23
15:28:12:304	Upload Task event uploaded for counter34
15:28:15:576	Upload Task event uploaded for counter41
15:28:18:902	Upload Task event uploaded for counter45
15:28:22:085	Upload Task event uploaded for counter51
15:28:25:140	Upload Task event uploaded for counter55
15:28:28:257	Upload Task event uploaded for counter62
15:28:31:708	Upload Task event uploaded for counter93
15:28:34:894	Upload Task event uploaded for counter94
15:28:38:131	Upload Task event uploaded for counter95
15:28:41:409	Upload Task event uploaded for counter1
15:28:44:753	Upload Task event uploaded for counter2
15:28:47:925	Upload Task event uploaded for counter4
15:28:50:986	Upload Task event uploaded for counter23
15:28:54:065	Upload Task event uploaded for counter34
15:28:57:220	Upload Task event uploaded for counter41
15:29:00:275	Upload Task event uploaded for counter45
