16:01:03:772	Application Starting
16:01:08:190	Upload Task starting
16:01:08:201	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
16:01:09:289	Upload Task event uploaded for counterdevice_aus
16:01:19:173	Upload Task event uploaded for counterddevice_aus
16:01:23:378	Upload Task event uploaded for counterdevice_aus
16:01:32:538	Upload Task event uploaded for counterddevice_aus
16:01:36:561	Upload Task event uploaded for counterdevice_aus
16:01:45:617	Upload Task event uploaded for counterddevice_aus
16:01:49:660	Upload Task event uploaded for counterdevice_aus
16:01:58:974	Upload Task event uploaded for counterddevice_aus
16:02:02:990	Upload Task event uploaded for counterdevice_aus
16:02:12:053	Upload Task event uploaded for counterddevice_aus
16:02:16:089	Upload Task event uploaded for counterdevice_aus
16:02:25:185	Upload Task event uploaded for counterddevice_aus
16:02:28:214	Upload Task cancellation request
16:02:28:222	Upload Task completed
