15:06:39:504	Application Starting
15:06:49:575	Upload Task starting
15:06:49:580	Data File: C:\RaviTella\Source\Repos\SimulatorLight\bin\Release\Data/skype1.csv
15:06:50:753	Upload Task event uploaded for counter2019-05-30 14:01:58.777
15:06:54:322	Upload Task event uploaded for counter2019-04-01 21:24:26.180
15:06:57:349	Upload Task event uploaded for counter2019-05-28 13:45:20.997
15:07:00:355	Upload Task event uploaded for counter2019-05-02 17:59:22.357
15:07:04:378	Upload Task event uploaded for counter2019-05-30 14:01:58.777
15:07:07:396	Upload Task event uploaded for counter2019-04-01 21:24:26.180
15:07:10:409	Upload Task event uploaded for counter2019-05-28 13:45:20.997
15:07:13:430	Upload Task event uploaded for counter2019-05-02 17:59:22.357
15:07:17:439	Upload Task event uploaded for counter2019-05-30 14:01:58.777
15:07:20:461	Upload Task event uploaded for counter2019-04-01 21:24:26.180
15:07:23:473	Upload Task event uploaded for counter2019-05-28 13:45:20.997
15:07:26:482	Upload Task event uploaded for counter2019-05-02 17:59:22.357
15:07:30:506	Upload Task event uploaded for counter2019-05-30 14:01:58.777
15:07:33:547	Upload Task event uploaded for counter2019-04-01 21:24:26.180
15:07:36:558	Upload Task event uploaded for counter2019-05-28 13:45:20.997
15:07:39:631	Upload Task event uploaded for counter2019-05-02 17:59:22.357
15:07:43:640	Upload Task event uploaded for counter2019-05-30 14:01:58.777
15:07:46:655	Upload Task event uploaded for counter2019-04-01 21:24:26.180
15:07:49:679	Upload Task event uploaded for counter2019-05-28 13:45:20.997
15:07:52:693	Upload Task cancellation request
15:07:52:714	Upload Task completed
