11:09:29:975	Application Starting
11:09:35:507	Upload Task starting
11:09:35:520	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:09:36:876	Upload Task event uploaded for counterdevice_sea
11:09:48:099	Upload Task cancellation request
11:09:48:103	Upload Task completed
11:10:15:681	Upload Task starting
11:10:15:697	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
11:10:16:721	Upload Task event uploaded for counterdevice_sea
11:10:26:008	Upload Task event uploaded for counterddevice_sea
11:10:30:107	Upload Task event uploaded for counterdevice_sea
11:10:39:219	Upload Task event uploaded for counterddevice_sea
11:10:43:281	Upload Task event uploaded for counterdevice_sea
11:10:52:534	Upload Task event uploaded for counterddevice_sea
11:10:56:643	Upload Task event uploaded for counterdevice_sea
