09:52:29:142	Application Starting
09:54:17:976	Upload Task starting
09:54:18:013	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
09:54:19:695	Upload Task event uploaded for counter1
09:54:33:454	Upload Task event uploaded for counter2
09:54:36:855	Upload Task event uploaded for counter1
09:54:39:909	Upload Task event uploaded for counter2
09:54:42:980	Upload Task event uploaded for counter34
09:54:46:076	Upload Task event uploaded for counter1
09:54:49:146	Upload Task event uploaded for counter2
09:54:52:207	Upload Task event uploaded for counter34
09:54:55:293	Upload Task event uploaded for counter95
09:54:58:392	Upload Task event uploaded for counter1
09:55:01:591	Upload Task event uploaded for counter2
09:55:05:191	Upload Task event uploaded for counter4
09:55:08:658	Upload Task event uploaded for counter34
09:55:11:699	Upload Task event uploaded for counter51
09:55:15:601	Upload Task event uploaded for counter55
09:55:19:124	Upload Task event uploaded for counter95
09:55:22:330	Upload Task event uploaded for counter1
09:55:25:735	Upload Task event uploaded for counter2
09:55:28:986	Upload Task event uploaded for counter4
09:55:32:109	Upload Task event uploaded for counter34
09:55:35:223	Upload Task event uploaded for counter45
09:55:38:655	Upload Task event uploaded for counter51
09:55:42:231	Upload Task event uploaded for counter55
09:55:45:517	Upload Task event uploaded for counter93
09:55:49:164	Upload Task event uploaded for counter94
09:55:52:292	Upload Task event uploaded for counter95
09:55:55:533	Upload Task event uploaded for counter1
09:55:59:358	Upload Task event uploaded for counter2
09:56:02:458	Upload Task event uploaded for counter4
09:56:06:002	Upload Task event uploaded for counter34
09:56:09:131	Upload Task event uploaded for counter45
09:56:12:170	Upload Task event uploaded for counter51
09:56:15:413	Upload Task event uploaded for counter55
09:56:18:577	Upload Task event uploaded for counter93
09:56:21:678	Upload Task event uploaded for counter94
09:56:25:287	Upload Task event uploaded for counter95
09:56:28:389	Upload Task event uploaded for counter1
09:56:31:506	Upload Task event uploaded for counter2
09:56:34:877	Upload Task event uploaded for counter4
09:56:37:988	Upload Task event uploaded for counter34
09:56:41:560	Upload Task event uploaded for counter45
09:56:44:823	Upload Task event uploaded for counter51
09:56:48:812	Upload Task event uploaded for counter55
09:56:52:239	Upload Task event uploaded for counter93
09:56:55:734	Upload Task event uploaded for counter94
09:56:58:992	Upload Task event uploaded for counter95
09:57:02:860	Upload Task event uploaded for counter1
09:57:05:942	Upload Task event uploaded for counter2
09:57:09:540	Upload Task event uploaded for counter4
09:57:12:741	Upload Task event uploaded for counter23
09:57:15:860	Upload Task event uploaded for counter34
09:57:19:129	Upload Task event uploaded for counter41
09:57:22:280	Upload Task event uploaded for counter45
09:57:25:566	Upload Task event uploaded for counter51
09:57:28:731	Upload Task event uploaded for counter55
09:57:31:829	Upload Task event uploaded for counter62
09:57:35:027	Upload Task event uploaded for counter93
09:57:38:172	Upload Task event uploaded for counter94
09:57:41:283	Upload Task event uploaded for counter95
09:57:44:521	Upload Task event uploaded for counter1
09:57:48:217	Upload Task event uploaded for counter2
09:57:51:810	Upload Task event uploaded for counter4
09:57:54:848	Upload Task event uploaded for counter23
09:57:58:171	Upload Task event uploaded for counter34
09:58:01:470	Upload Task event uploaded for counter41
09:58:04:702	Upload Task event uploaded for counter45
09:58:07:842	Upload Task event uploaded for counter51
09:58:10:924	Upload Task event uploaded for counter55
09:58:14:021	Upload Task event uploaded for counter62
09:58:17:087	Upload Task event uploaded for counter79
09:58:20:173	Upload Task event uploaded for counter93
09:58:23:280	Upload Task event uploaded for counter94
09:58:26:409	Upload Task event uploaded for counter95
09:58:29:472	Upload Task event uploaded for counter1
09:58:32:534	Upload Task event uploaded for counter2
09:58:35:590	Upload Task event uploaded for counter4
09:58:39:004	Upload Task event uploaded for counter23
09:58:42:038	Upload Task event uploaded for counter34
09:58:45:094	Upload Task event uploaded for counter41
09:58:48:388	Upload Task event uploaded for counter45
09:58:51:863	Upload Task event uploaded for counter51
09:58:54:942	Upload Task event uploaded for counter55
09:58:57:979	Upload Task event uploaded for counter62
09:59:01:121	Upload Task event uploaded for counter79
09:59:04:215	Upload Task event uploaded for counter84
09:59:07:244	Upload Task event uploaded for counter93
09:59:10:312	Upload Task event uploaded for counter94
09:59:13:356	Upload Task event uploaded for counter95
09:59:16:390	Upload Task event uploaded for counter1
09:59:19:500	Upload Task event uploaded for counter2
09:59:22:539	Upload Task event uploaded for counter4
09:59:25:573	Upload Task event uploaded for counter23
09:59:28:613	Upload Task event uploaded for counter34
09:59:31:698	Upload Task event uploaded for counter41
09:59:34:879	Upload Task event uploaded for counter45
09:59:38:043	Upload Task event uploaded for counter51
09:59:41:085	Upload Task event uploaded for counter55
09:59:44:140	Upload Task event uploaded for counter62
09:59:47:233	Upload Task event uploaded for counter79
09:59:50:274	Upload Task event uploaded for counter84
09:59:53:299	Upload Task event uploaded for counter93
09:59:56:352	Upload Task event uploaded for counter94
09:59:59:390	Upload Task event uploaded for counter95
10:00:02:427	Upload Task event uploaded for counter1
10:00:05:470	Upload Task event uploaded for counter2
10:00:08:562	Upload Task event uploaded for counter4
10:00:11:887	Upload Task event uploaded for counter23
10:00:15:308	Upload Task event uploaded for counter34
10:00:19:245	Upload Task event uploaded for counter41
10:00:22:716	Upload Task event uploaded for counter45
10:00:25:736	Upload Task event uploaded for counter47
10:00:29:110	Upload Task event uploaded for counter51
10:00:32:158	Upload Task event uploaded for counter55
10:00:35:260	Upload Task event uploaded for counter59
10:00:38:571	Upload Task event uploaded for counter62
10:00:41:733	Upload Task event uploaded for counter79
