20:33:24:917	Application Starting
20:33:28:517	Upload Task starting
20:33:28:522	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
20:33:29:615	Upload Task event uploaded for counterdevice_aus
20:33:39:536	Upload Task cancellation request
20:33:39:540	Upload Task completed
20:35:40:772	Upload Task starting
20:35:40:789	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
20:35:41:802	Upload Task event uploaded for counterdevice_aus
20:35:51:015	Upload Task cancellation request
20:35:51:036	Upload Task completed
20:38:59:050	Upload Task starting
20:38:59:058	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
20:39:00:067	Upload Task event uploaded for counterdevice_aus
20:39:09:224	Upload Task cancellation request
20:39:09:229	Upload Task completed
20:41:25:604	Upload Task starting
20:41:25:612	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
20:41:26:623	Upload Task event uploaded for counterdevice_aus
20:41:35:763	Upload Task event uploaded for counterddevice_aus
20:41:38:779	Upload Task cancellation request
20:41:38:802	Upload Task completed
20:48:53:231	Upload Task starting
20:48:53:238	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
20:48:54:256	Upload Task event uploaded for counterdevice_aus
20:49:03:424	Upload Task cancellation request
20:49:03:435	Upload Task completed
21:16:27:727	Upload Task starting
21:16:27:736	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
21:16:28:756	Upload Task event uploaded for counterdevice_aus
21:16:37:924	Upload Task event uploaded for counterddevice_aus
21:16:40:967	Upload Task cancellation request
21:16:40:977	Upload Task completed
21:20:20:638	Upload Task starting
21:20:20:645	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
21:20:21:667	Upload Task event uploaded for counterdevice_aus
21:20:31:007	Upload Task cancellation request
21:20:31:018	Upload Task completed
22:04:33:825	Upload Task starting
22:04:33:838	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
22:04:34:873	Upload Task event uploaded for counterdevice_aus
22:04:44:598	Upload Task event uploaded for counterddevice_aus
22:04:48:674	Upload Task event uploaded for counterdevice_aus
22:04:58:973	Upload Task event uploaded for counterddevice_aus
22:05:03:871	Upload Task event uploaded for counterdevice_aus
22:05:13:650	Upload Task event uploaded for counterddevice_aus
22:05:21:196	Upload Task event uploaded for counterdevice_aus
22:05:30:912	Upload Task event uploaded for counterddevice_aus
22:05:34:981	Upload Task event uploaded for counterdevice_aus
