14:34:58:981	Application Starting
14:35:04:776	Upload Task starting
14:35:04:793	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:35:05:962	Upload Task event uploaded for counter1
14:35:18:254	Upload Task event uploaded for counter2
14:35:21:273	Upload Task event uploaded for counter1
14:35:24:289	Upload Task event uploaded for counter2
14:35:27:328	Upload Task event uploaded for counter34
14:35:30:360	Upload Task event uploaded for counter1
14:35:33:691	Upload Task event uploaded for counter2
14:35:36:789	Upload Task event uploaded for counter34
14:35:39:832	Upload Task event uploaded for counter95
14:35:42:929	Upload Task event uploaded for counter1
14:35:46:123	Upload Task event uploaded for counter2
14:35:49:321	Upload Task event uploaded for counter4
14:35:52:873	Upload Task event uploaded for counter34
14:35:56:060	Upload Task event uploaded for counter51
14:35:59:390	Upload Task event uploaded for counter55
14:36:02:601	Upload Task event uploaded for counter95
14:36:05:775	Upload Task event uploaded for counter1
14:36:08:845	Upload Task event uploaded for counter2
14:36:11:975	Upload Task event uploaded for counter4
14:36:16:542	Upload Task event uploaded for counter34
14:36:21:079	Upload Task event uploaded for counter45
14:36:24:237	Upload Task event uploaded for counter51
14:36:27:659	Upload Task event uploaded for counter55
14:36:32:099	Upload Task event uploaded for counter93
14:36:36:794	Upload Task event uploaded for counter94
14:36:40:112	Upload Task event uploaded for counter95
14:36:45:074	Upload Task event uploaded for counter1
14:36:49:200	Upload Task event uploaded for counter2
14:36:53:265	Upload Task event uploaded for counter4
14:36:56:518	Upload Task event uploaded for counter34
14:37:00:035	Upload Task event uploaded for counter45
14:37:03:158	Upload Task event uploaded for counter51
14:37:06:657	Upload Task event uploaded for counter55
14:37:09:947	Upload Task event uploaded for counter93
14:37:14:028	Upload Task event uploaded for counter94
14:37:17:936	Upload Task event uploaded for counter95
14:37:21:341	Upload Task event uploaded for counter1
14:37:24:781	Upload Task event uploaded for counter2
14:37:28:040	Upload Task event uploaded for counter4
14:37:32:150	Upload Task event uploaded for counter34
14:37:35:247	Upload Task event uploaded for counter45
14:37:38:815	Upload Task event uploaded for counter51
14:37:42:059	Upload Task event uploaded for counter55
14:37:45:904	Upload Task event uploaded for counter93
14:37:49:441	Upload Task event uploaded for counter94
14:37:53:574	Upload Task event uploaded for counter95
14:37:56:651	Upload Task event uploaded for counter1
14:37:59:916	Upload Task event uploaded for counter2
14:38:03:121	Upload Task event uploaded for counter4
14:38:06:370	Upload Task event uploaded for counter23
14:38:09:477	Upload Task event uploaded for counter34
14:38:12:681	Upload Task event uploaded for counter41
14:38:15:955	Upload Task event uploaded for counter45
14:38:19:186	Upload Task event uploaded for counter51
14:38:22:398	Upload Task event uploaded for counter55
14:38:25:507	Upload Task event uploaded for counter62
14:38:28:592	Upload Task event uploaded for counter93
14:38:31:890	Upload Task event uploaded for counter94
14:38:35:020	Upload Task event uploaded for counter95
14:38:38:253	Upload Task event uploaded for counter1
14:38:41:375	Upload Task event uploaded for counter2
14:38:44:517	Upload Task event uploaded for counter4
14:38:47:851	Upload Task event uploaded for counter23
14:38:51:082	Upload Task event uploaded for counter34
14:38:54:154	Upload Task event uploaded for counter41
14:38:57:577	Upload Task event uploaded for counter45
14:39:01:047	Upload Task event uploaded for counter51
14:39:04:123	Upload Task event uploaded for counter55
14:39:07:341	Upload Task event uploaded for counter62
14:39:10:575	Upload Task event uploaded for counter79
14:39:13:689	Upload Task event uploaded for counter93
14:39:16:737	Upload Task event uploaded for counter94
14:39:19:804	Upload Task event uploaded for counter95
14:39:22:847	Upload Task event uploaded for counter1
14:39:25:958	Upload Task event uploaded for counter2
14:39:29:086	Upload Task cancellation request
14:39:29:128	Upload Task completed
