13:26:56:721	Application Starting
13:27:04:475	Upload Task starting
13:27:04:534	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
13:27:06:040	Upload Task event uploaded for counter1
13:27:23:123	Upload Task event uploaded for counter2
13:27:26:913	Upload Task event uploaded for counter1
13:27:30:193	Upload Task event uploaded for counter2
13:27:34:345	Upload Task event uploaded for counter34
13:27:39:104	Upload Task event uploaded for counter1
13:27:42:769	Upload Task event uploaded for counter2
13:27:46:009	Upload Task event uploaded for counter34
13:27:49:229	Upload Task event uploaded for counter95
13:27:52:710	Upload Task event uploaded for counter1
13:27:55:826	Upload Task event uploaded for counter2
13:27:58:943	Upload Task event uploaded for counter4
13:28:02:053	Upload Task event uploaded for counter34
13:28:05:238	Upload Task event uploaded for counter51
13:28:08:294	Upload Task event uploaded for counter55
13:28:11:349	Upload Task event uploaded for counter95
13:28:14:447	Upload Task event uploaded for counter1
13:28:17:525	Upload Task event uploaded for counter2
13:28:20:592	Upload Task event uploaded for counter4
13:28:24:130	Upload Task event uploaded for counter34
13:28:27:419	Upload Task event uploaded for counter45
13:28:30:642	Upload Task event uploaded for counter51
13:28:33:974	Upload Task event uploaded for counter55
13:28:37:044	Upload Task event uploaded for counter93
13:28:40:615	Upload Task event uploaded for counter94
13:28:44:108	Upload Task event uploaded for counter95
13:28:47:455	Upload Task event uploaded for counter1
13:28:50:589	Upload Task event uploaded for counter2
13:28:53:758	Upload Task event uploaded for counter4
13:28:57:399	Upload Task event uploaded for counter34
13:29:00:722	Upload Task event uploaded for counter45
13:29:04:268	Upload Task event uploaded for counter51
13:29:07:773	Upload Task event uploaded for counter55
13:29:10:961	Upload Task event uploaded for counter93
13:29:14:001	Upload Task event uploaded for counter94
13:29:17:087	Upload Task event uploaded for counter95
13:29:20:200	Upload Task event uploaded for counter1
13:29:23:396	Upload Task event uploaded for counter2
13:29:26:707	Upload Task event uploaded for counter4
13:29:30:446	Upload Task event uploaded for counter34
13:29:33:552	Upload Task event uploaded for counter45
13:29:37:053	Upload Task event uploaded for counter51
13:29:40:085	Upload Task event uploaded for counter55
13:29:43:377	Upload Task event uploaded for counter93
13:29:46:713	Upload Task event uploaded for counter94
13:29:49:865	Upload Task event uploaded for counter95
13:29:52:936	Upload Task event uploaded for counter1
13:29:56:131	Upload Task event uploaded for counter2
13:29:59:407	Upload Task event uploaded for counter4
13:30:03:369	Upload Task event uploaded for counter23
13:30:08:287	Upload Task event uploaded for counter34
13:30:11:783	Upload Task event uploaded for counter41
13:30:14:892	Upload Task event uploaded for counter45
13:30:17:931	Upload Task event uploaded for counter51
13:30:21:086	Upload Task event uploaded for counter55
13:30:24:371	Upload Task event uploaded for counter62
13:30:27:907	Upload Task event uploaded for counter93
13:30:30:942	Upload Task event uploaded for counter94
13:30:34:110	Upload Task event uploaded for counter95
13:30:37:152	Upload Task event uploaded for counter1
13:30:40:212	Upload Task event uploaded for counter2
13:30:43:289	Upload Task event uploaded for counter4
13:30:46:351	Upload Task event uploaded for counter23
13:30:49:413	Upload Task event uploaded for counter34
13:30:52:613	Upload Task event uploaded for counter41
13:30:55:862	Upload Task event uploaded for counter45
13:30:58:885	Upload Task event uploaded for counter51
13:31:01:926	Upload Task event uploaded for counter55
13:31:04:952	Upload Task event uploaded for counter62
13:31:08:058	Upload Task event uploaded for counter79
13:31:11:137	Upload Task event uploaded for counter93
13:31:14:199	Upload Task event uploaded for counter94
13:31:17:252	Upload Task event uploaded for counter95
13:31:20:273	Upload Task event uploaded for counter1
13:31:23:293	Upload Task event uploaded for counter2
13:31:26:334	Upload Task event uploaded for counter4
13:31:29:359	Upload Task event uploaded for counter23
13:31:32:415	Upload Task event uploaded for counter34
13:31:35:481	Upload Task event uploaded for counter41
13:31:38:558	Upload Task event uploaded for counter45
13:31:41:605	Upload Task event uploaded for counter51
13:31:44:750	Upload Task event uploaded for counter55
13:31:47:806	Upload Task event uploaded for counter62
13:31:50:847	Upload Task event uploaded for counter79
13:31:53:875	Upload Task event uploaded for counter84
13:31:56:928	Upload Task event uploaded for counter93
13:31:59:992	Upload Task event uploaded for counter94
13:32:03:315	Upload Task event uploaded for counter95
13:32:06:341	Upload Task event uploaded for counter1
13:32:09:374	Upload Task event uploaded for counter2
13:32:12:550	Upload Task event uploaded for counter4
13:32:15:621	Upload Task event uploaded for counter23
