14:47:36:836	Application Starting
14:47:40:162	Upload Task starting
14:47:40:178	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/aircraftdemo_input_v4.csv
14:47:41:327	Upload Task event uploaded for counter1
14:47:54:491	Upload Task event uploaded for counter2
14:47:57:556	Upload Task event uploaded for counter1
14:48:00:656	Upload Task event uploaded for counter2
14:48:03:721	Upload Task event uploaded for counter34
14:48:06:770	Upload Task event uploaded for counter1
14:48:09:820	Upload Task event uploaded for counter2
14:48:12:873	Upload Task event uploaded for counter34
14:48:15:967	Upload Task event uploaded for counter95
14:48:19:117	Upload Task event uploaded for counter1
14:48:22:299	Upload Task event uploaded for counter2
14:48:26:315	Upload Task event uploaded for counter4
14:48:30:136	Upload Task event uploaded for counter34
14:48:33:411	Upload Task event uploaded for counter51
14:48:36:634	Upload Task cancellation request
14:48:36:713	Upload Task completed
